
Ellipsoid Axis Length C
 ==================== 
Ellipsoid Axis Length C,Unit,Category,Time,TrackID,ID,
4.47889,um,Surface,430,1000204718,213138,
6.11109,um,Surface,430,1000161072,213139,
4.51416,um,Surface,430,1000209244,213140,
5.07475,um,Surface,430,1000203533,213141,
5.36418,um,Surface,430,1000199773,213142,
6.28016,um,Surface,430,1000179475,213143,
6.26499,um,Surface,430,1000210851,213144,
6.09046,um,Surface,430,1000177939,213145,
4.36114,um,Surface,430,1000161104,213146,
4.49551,um,Surface,430,1000201374,213147,
7.41128,um,Surface,430,1000197225,213148,
4.71157,um,Surface,430,1000206422,213149,
5.11871,um,Surface,430,1000208321,213150,
5.17089,um,Surface,430,1000205236,213151,
5.35077,um,Surface,430,1000161146,213152,
5.2602,um,Surface,430,1000161145,213153,
4.83412,um,Surface,430,1000208944,213154,
4.9251,um,Surface,430,1000191712,213155,
5.1754,um,Surface,430,1000199432,213156,
6.63641,um,Surface,430,1000202567,213157,
6.90332,um,Surface,430,1000196348,213158,
8.60944,um,Surface,430,1000201094,213159,
6.56557,um,Surface,431,1000161032,213160,
4.5509,um,Surface,431,1000198833,213161,
4.58246,um,Surface,431,1000166950,213162,
6.74054,um,Surface,431,1000212391,213163,
6.42212,um,Surface,431,1000202801,213164,
4.55085,um,Surface,431,1000212567,213165,
4.60569,um,Surface,431,1000161044,213166,
4.79644,um,Surface,431,1000210467,213167,
4.6826,um,Surface,431,1000189692,213168,
4.94985,um,Surface,431,1000185942,213169,
5.98202,um,Surface,431,1000168619,213170,
4.44075,um,Surface,431,1000161049,213171,
4.86804,um,Surface,431,1000207101,213172,
5.10262,um,Surface,431,1000202411,213173,
5.10643,um,Surface,431,1000188975,213174,
4.60957,um,Surface,431,1000194928,213175,
4.77106,um,Surface,431,1000204718,213176,
4.75797,um,Surface,431,1000161072,213177,
4.99296,um,Surface,431,1000209244,213178,
5.2028,um,Surface,431,1000203533,213179,
5.03244,um,Surface,431,1000199773,213180,
6.08931,um,Surface,431,1000179475,213181,
4.93355,um,Surface,431,1000177939,213182,
5.45307,um,Surface,431,1000210851,213183,
4.86588,um,Surface,431,1000208231,213184,
4.44978,um,Surface,431,1000161104,213185,
6.38058,um,Surface,431,1000197225,213186,
5.34466,um,Surface,431,1000208321,213187,
5.33971,um,Surface,431,1000161146,213188,
5.86929,um,Surface,431,1000161145,213189,
4.80436,um,Surface,431,1000208944,213190,
4.42808,um,Surface,431,1000199432,213191,
5.39373,um,Surface,431,1000202567,213192,
4.81949,um,Surface,431,1000191712,213193,
5.03481,um,Surface,431,1000196348,213194,
4.93876,um,Surface,431,1000201094,213195,
6.21739,um,Surface,432,1000166950,213196,
4.46219,um,Surface,432,1000212391,213197,
5.06846,um,Surface,432,1000198833,213198,
6.08646,um,Surface,432,1000161032,213199,
4.58804,um,Surface,432,1000202801,213200,
4.62906,um,Surface,432,1000162116,213201,
5.08742,um,Surface,432,1000212567,213202,
4.51416,um,Surface,432,1000210467,213203,
4.73117,um,Surface,432,1000189692,213204,
5.07212,um,Surface,432,1000213056,213205,
5.24122,um,Surface,432,1000161049,213206,
