
Ellipsoid Axis Length B
 ==================== 
Ellipsoid Axis Length B,Unit,Category,Time,TrackID,ID,
4.67918,um,Surface,298,1000220931,236783,
4.22652,um,Surface,298,1000190060,236784,
4.30884,um,Surface,298,1000228430,236785,
2.50326,um,Surface,298,1000190070,236786,
4.4324,um,Surface,298,1000229262,236787,
4.59113,um,Surface,298,1000190078,236788,
8.18233,um,Surface,298,1000190067,236789,
2.75591,um,Surface,298,1000227641,236790,
4.03618,um,Surface,298,1000236709,236791,
4.29844,um,Surface,298,1000234098,236792,
3.8921,um,Surface,298,1000190069,236793,
4.59705,um,Surface,298,1000225127,236794,
4.3719,um,Surface,298,1000231680,236795,
3.69257,um,Surface,298,1000190669,236796,
4.27279,um,Surface,298,1000190102,236797,
4.24136,um,Surface,298,1000234104,236798,
4.11918,um,Surface,298,1000222876,236799,
4.83283,um,Surface,298,1000190094,236800,
4.30173,um,Surface,298,1000209911,236801,
2.93484,um,Surface,298,1000224541,236802,
3.96418,um,Surface,298,1000226984,236803,
3.68349,um,Surface,298,1000190110,236804,
3.72333,um,Surface,298,1000215621,236805,
1.98032,um,Surface,298,1000190259,236806,
4.5807,um,Surface,298,1000222102,236807,
3.69977,um,Surface,298,1000190117,236808,
2.99647,um,Surface,298,1000190118,236809,
2.19649,um,Surface,298,1000190091,236810,
5.85168,um,Surface,298,1000219195,236811,
2.62883,um,Surface,298,1000228895,236812,
4.4807,um,Surface,298,1000232895,236813,
2.84612,um,Surface,298,1000190129,236814,
4.90978,um,Surface,298,1000190130,236815,
4.05624,um,Surface,298,1000190126,236816,
4.18534,um,Surface,298,1000219206,236817,
5.02446,um,Surface,298,1000190134,236818,
3.17759,um,Surface,298,1000229968,236819,
3.34476,um,Surface,298,1000231721,236820,
2.72933,um,Surface,298,1000209980,236821,
3.74694,um,Surface,299,1000222142,236822,
2.00289,um,Surface,299,1000190294,236823,
1.98032,um,Surface,299,1000190586,236824,
3.21553,um,Surface,299,1000227434,236825,
4.76014,um,Surface,299,1000235565,236826,
2.84317,um,Surface,299,1000222473,236827,
5.33841,um,Surface,299,1000219866,236828,
3.68349,um,Surface,299,1000235079,236829,
2.77687,um,Surface,299,1000233369,236830,
1.98026,um,Surface,299,1000210577,236831,
4.24081,um,Surface,299,1000226767,236832,
2.90842,um,Surface,299,1000191540,236833,
2.29496,um,Surface,299,1000221656,236834,
4.29654,um,Surface,299,1000225060,236835,
5.18665,um,Surface,299,1000225374,236836,
3.10741,um,Surface,299,1000218119,236837,
3.71749,um,Surface,299,1000220704,236838,
4.28762,um,Surface,299,1000207143,236839,
4.05675,um,Surface,299,1000231127,236840,
3.60807,um,Surface,299,1000191553,236841,
7.32566,um,Surface,299,1000190052,236842,
2.87546,um,Surface,299,1000228663,236843,
3.89417,um,Surface,299,1000229358,236844,
2.90842,um,Surface,299,1000190044,236845,
3.97116,um,Surface,299,1000229618,236846,
3.98331,um,Surface,299,1000225673,236847,
3.56918,um,Surface,299,1000195204,236848,
5.64328,um,Surface,299,1000230532,236849,
4.68431,um,Surface,299,1000231776,236850,
5.52493,um,Surface,299,1000224498,236851,
4.20351,um,Surface,299,1000234070,236852,
5.60515,um,Surface,299,1000232584,236853,
4.43821,um,Surface,299,1000221385,236854,
6.54283,um,Surface,299,1000234396,236855,
