
Ellipsoid Axis Length A
 ==================== 
Ellipsoid Axis Length A,Unit,Category,Time,TrackID,ID,
5.76018,um,Surface,2,1000190054,190192,
5.2018,um,Surface,2,1000190058,190193,
4.92763,um,Surface,2,1000190057,190194,
4.26166,um,Surface,2,1000190195,190195,
3.15603,um,Surface,2,1000190063,190196,
6.01814,um,Surface,2,1000190062,190197,
4.66264,um,Surface,2,1000190056,190198,
4.31835,um,Surface,2,1000190064,190199,
5.06545,um,Surface,2,1000190059,190200,
4.18844,um,Surface,2,1000190065,190201,
4.24828,um,Surface,2,1000190061,190202,
4.32521,um,Surface,2,1000190060,190203,
3.7316,um,Surface,2,1000190066,190204,
4.00173,um,Surface,2,1000190069,190205,
4.20686,um,Surface,2,1000190073,190206,
3.94153,um,Surface,2,1000190072,190207,
5.43782,um,Surface,2,1000190068,190208,
4.15567,um,Surface,2,1000190067,190209,
5.74922,um,Surface,2,1000190071,190210,
5.1548,um,Surface,2,1000190077,190211,
4.58266,um,Surface,2,1000190078,190212,
4.69863,um,Surface,2,1000190075,190213,
4.84507,um,Surface,2,1000190070,190214,
5.27128,um,Surface,2,1000190080,190215,
4.38749,um,Surface,2,1000190081,190216,
4.65038,um,Surface,2,1000190076,190217,
5.35295,um,Surface,2,1000190074,190218,
5.98163,um,Surface,2,1000190082,190219,
4.6686,um,Surface,2,1000190087,190220,
5.02247,um,Surface,2,1000190088,190221,
4.09992,um,Surface,2,1000190079,190222,
5.66943,um,Surface,2,1000190083,190223,
5.37591,um,Surface,2,1000190091,190224,
3.97774,um,Surface,2,1000190092,190225,
4.7499,um,Surface,2,1000190093,190226,
5.57538,um,Surface,2,1000190084,190227,
4.06377,um,Surface,2,1000190085,190228,
4.21965,um,Surface,2,1000190095,190229,
4.14793,um,Surface,2,1000190089,190230,
5.0805,um,Surface,2,1000190086,190231,
4.19181,um,Surface,2,1000190090,190232,
5.6495,um,Surface,2,1000190097,190233,
4.72977,um,Surface,2,1000190098,190234,
5.6126,um,Surface,2,1000190094,190235,
4.35832,um,Surface,2,1000190096,190236,
5.17382,um,Surface,2,1000190099,190237,
4.27973,um,Surface,2,1000190102,190238,
5.48362,um,Surface,2,1000190100,190239,
4.28525,um,Surface,2,1000190103,190240,
4.2842,um,Surface,2,1000190104,190241,
4.55646,um,Surface,2,1000190105,190242,
6.00135,um,Surface,2,1000190107,190243,
4.90513,um,Surface,2,1000190110,190244,
4.30976,um,Surface,2,1000190101,190245,
4.3248,um,Surface,2,1000190108,190246,
5.39631,um,Surface,2,1000190106,190247,
5.19384,um,Surface,2,1000190109,190248,
5.73963,um,Surface,2,1000190111,190249,
4.2803,um,Surface,2,1000190113,190250,
4.27779,um,Surface,2,1000190114,190251,
5.36963,um,Surface,2,1000190112,190252,
4.45276,um,Surface,2,1000190115,190253,
4.25707,um,Surface,2,1000190118,190254,
4.73101,um,Surface,2,1000190123,190255,
4.17627,um,Surface,2,1000190124,190256,
4.26982,um,Surface,2,1000190117,190257,
3.16747,um,Surface,2,1000190116,190258,
5.24577,um,Surface,2,1000190259,190259,
4.07227,um,Surface,2,1000190128,190260,
5.66714,um,Surface,2,1000190119,190261,
4.95149,um,Surface,2,1000190120,190262,
5.92678,um,Surface,2,1000190122,190263,
4.31003,um,Surface,2,1000190121,190264,
4.11525,um,Surface,2,1000190125,190265,
5.07529,um,Surface,2,1000190126,190266,
4.22883,um,Surface,2,1000190127,190267,
4.01878,um,Surface,2,1000190134,190268,
4.33537,um,Surface,2,1000190135,190269,
5.39028,um,Surface,2,1000190130,190270,
5.54248,um,Surface,2,1000190131,190271,
4.47146,um,Surface,2,1000190133,190272,
4.23518,um,Surface,2,1000190129,190273,
5.55737,um,Surface,2,1000190136,190274,
3.96298,um,Surface,2,1000190137,190275,
5.05919,um,Surface,2,1000190138,190276,
4.61326,um,Surface,2,1000190132,190277,
4.27138,um,Surface,2,1000190139,190278,
4.01656,um,Surface,2,1000190140,190279,
2.08818,um,Surface,3,1000190048,190280,
5.56397,um,Surface,4,1000190009,190281,
5.3548,um,Surface,4,1000190005,190282,
3.65861,um,Surface,4,1000190006,190283,
4.97651,um,Surface,4,1000190284,190284,
4.31374,um,Surface,4,1000190012,190285,
4.73584,um,Surface,4,1000190008,190286,
4.58054,um,Surface,4,1000190007,190287,
5.43935,um,Surface,4,1000190015,190288,
5.71552,um,Surface,4,1000190014,190289,
1.98026,um,Surface,4,1000190010,190290,
5.20554,um,Surface,4,1000190011,190291,
5.44288,um,Surface,4,1000190016,190292,
5.19091,um,Surface,4,1000190013,190293,
4.23378,um,Surface,4,1000190294,190294,
4.26655,um,Surface,4,1000190018,190295,
5.51506,um,Surface,4,1000190020,190296,
4.29132,um,Surface,4,1000190017,190297,
5.06312,um,Surface,4,1000190023,190298,
5.62055,um,Surface,4,1000190022,190299,
4.27639,um,Surface,4,1000190019,190300,
2.62773,um,Surface,4,1000190301,190301,
5.36987,um,Surface,4,1000190159,190302,
4.24426,um,Surface,4,1000190021,190303,
4.90528,um,Surface,4,1000190031,190304,
5.70278,um,Surface,4,1000190024,190305,
5.28122,um,Surface,4,1000190025,190306,
5.67117,um,Surface,4,1000190027,190307,
4.6923,um,Surface,4,1000190028,190308,
4.39672,um,Surface,4,1000190026,190309,
2.35485,um,Surface,4,1000190030,190310,
2.85635,um,Surface,4,1000190029,190311,
4.79302,um,Surface,4,1000190032,190312,
5.17071,um,Surface,4,1000190034,190313,
5.31865,um,Surface,4,1000190035,190314,
5.60752,um,Surface,4,1000190040,190315,
4.70653,um,Surface,4,1000190041,190316,
5.70279,um,Surface,4,1000190033,190317,
5.59121,um,Surface,4,1000190037,190318,
5.858,um,Surface,4,1000190038,190319,
4.71227,um,Surface,4,1000190039,190320,
1.98032,um,Surface,4,1000190321,190321,
4.48321,um,Surface,4,1000190036,190322,
4.31596,um,Surface,4,1000190046,190323,
3.45398,um,Surface,4,1000190042,190324,
4.21533,um,Surface,4,1000190043,190325,
4.86962,um,Surface,4,1000190051,190326,
4.73869,um,Surface,4,1000190045,190327,
4.75817,um,Surface,4,1000190047,190328,
5.50518,um,Surface,4,1000190049,190329,
6.00525,um,Surface,4,1000190053,190330,
4.49402,um,Surface,4,1000190050,190331,
5.08474,um,Surface,4,1000190044,190332,
1.98026,um,Surface,4,1000190333,190333,
4.30757,um,Surface,4,1000190052,190334,
4.45724,um,Surface,4,1000190335,190335,
5.51156,um,Surface,4,1000190048,190336,
5.03633,um,Surface,4,1000190337,190337,
5.62184,um,Surface,4,1000190058,190338,
4.93496,um,Surface,4,1000190055,190339,
4.84464,um,Surface,4,1000190195,190340,
4.25293,um,Surface,4,1000190064,190341,
5.21005,um,Surface,4,1000190054,190342,
4.89176,um,Surface,4,1000190057,190343,
5.16311,um,Surface,4,1000190060,190344,
2.45744,um,Surface,4,1000190063,190345,
4.28248,um,Surface,4,1000190056,190346,
6.00258,um,Surface,4,1000190062,190347,
5.49236,um,Surface,4,1000190061,190348,
4.17969,um,Surface,4,1000190059,190349,
4.71718,um,Surface,4,1000190065,190350,
5.74878,um,Surface,4,1000190071,190351,
4.22384,um,Surface,4,1000190072,190352,
4.29411,um,Surface,4,1000190069,190353,
4.27465,um,Surface,4,1000190077,190354,
4.88706,um,Surface,4,1000190067,190355,
4.77304,um,Surface,4,1000190073,190356,
3.58508,um,Surface,4,1000190066,190357,
4.74876,um,Surface,4,1000190068,190358,
5.83039,um,Surface,4,1000190070,190359,
4.79579,um,Surface,4,1000190075,190360,
4.21684,um,Surface,4,1000190078,190361,
5.73663,um,Surface,4,1000190082,190362,
5.83745,um,Surface,4,1000190083,190363,
5.8578,um,Surface,4,1000190074,190364,
5.07916,um,Surface,4,1000190081,190365,
5.43745,um,Surface,4,1000190076,190366,
4.24564,um,Surface,4,1000190088,190367,
4.03232,um,Surface,4,1000190079,190368,
5.62185,um,Surface,4,1000190080,190369,
4.48664,um,Surface,4,1000190087,190370,
5.36323,um,Surface,4,1000190084,190371,
4.05063,um,Surface,4,1000190092,190372,
4.27587,um,Surface,4,1000190093,190373,
4.69489,um,Surface,4,1000190085,190374,
1.9803,um,Surface,4,1000190375,190375,
4.26158,um,Surface,4,1000190095,190376,
4.75159,um,Surface,4,1000190086,190377,
4.10355,um,Surface,4,1000190090,190378,
5.78674,um,Surface,4,1000190091,190379,
4.66478,um,Surface,4,1000190098,190380,
6.03406,um,Surface,4,1000190094,190381,
3.69985,um,Surface,4,1000190096,190382,
4.99115,um,Surface,4,1000190089,190383,
4.28751,um,Surface,4,1000190108,190384,
4.27592,um,Surface,4,1000190103,190385,
4.93465,um,Surface,4,1000190104,190386,
5.65073,um,Surface,4,1000190097,190387,
4.16135,um,Surface,4,1000190105,190388,
4.52863,um,Surface,4,1000190100,190389,
5.22775,um,Surface,4,1000190101,190390,
4.31124,um,Surface,4,1000190102,190391,
