
Area
 ==================== 
Area,Unit,Category,Time,TrackID,ID,
122.351,um^2,Surface,366,1000215621,241716,
94.8721,um^2,Surface,366,1000190130,241717,
324.735,um^2,Surface,366,1000219195,241718,
144.666,um^2,Surface,366,1000227524,241719,
303.317,um^2,Surface,366,1000232895,241720,
73.4939,um^2,Surface,366,1000236985,241721,
116.465,um^2,Surface,366,1000190126,241722,
78.2427,um^2,Surface,366,1000241480,241723,
29.1499,um^2,Surface,366,1000229968,241724,
65.8981,um^2,Surface,366,1000231721,241725,
75.4236,um^2,Surface,366,1000209980,241726,
93.768,um^2,Surface,367,1000238712,241727,
179.559,um^2,Surface,367,1000239987,241728,
365.615,um^2,Surface,367,1000241001,241729,
33.2809,um^2,Surface,367,1000239343,241730,
84.6985,um^2,Surface,367,1000222142,241731,
96.079,um^2,Surface,367,1000190294,241732,
115.124,um^2,Surface,367,1000237825,241733,
78.845,um^2,Surface,367,1000233369,241734,
246.005,um^2,Surface,367,1000225060,241735,
95.158,um^2,Surface,367,1000218119,241736,
85.5052,um^2,Surface,367,1000238081,241737,
83.0847,um^2,Surface,367,1000207143,241738,
169.353,um^2,Surface,367,1000240621,241739,
61.102,um^2,Surface,367,1000238078,241740,
132.661,um^2,Surface,367,1000191553,241741,
80.7471,um^2,Surface,367,1000237593,241742,
117.339,um^2,Surface,367,1000229618,241743,
134.98,um^2,Surface,367,1000241266,241744,
53.6408,um^2,Surface,367,1000195204,241745,
130.957,um^2,Surface,367,1000223145,241746,
240.903,um^2,Surface,367,1000230532,241747,
127.494,um^2,Surface,367,1000225673,241748,
161.087,um^2,Surface,367,1000221385,241749,
314.214,um^2,Surface,367,1000234396,241750,
97.3615,um^2,Surface,367,1000231154,241751,
233.693,um^2,Surface,367,1000218970,241752,
251.939,um^2,Surface,367,1000240458,241753,
159.262,um^2,Surface,367,1000190082,241754,
143.985,um^2,Surface,367,1000220931,241755,
102.16,um^2,Surface,367,1000238100,241756,
75.179,um^2,Surface,367,1000227641,241757,
161.865,um^2,Surface,367,1000190060,241758,
181.003,um^2,Surface,367,1000234098,241759,
214.023,um^2,Surface,367,1000236709,241760,
72.2442,um^2,Surface,367,1000238506,241761,
65.7071,um^2,Surface,367,1000231680,241762,
73.4933,um^2,Surface,367,1000190669,241763,
119.246,um^2,Surface,367,1000225127,241764,
93.2803,um^2,Surface,367,1000190094,241765,
