
Intensity Sum Ch=3 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
222616,,Surface,3,Image 1,9,54908,
18125,,Surface,3,Image 1,9,54909,
139832,,Surface,3,Image 1,9,54910,
126897,,Surface,3,Image 1,9,54911,
200548,,Surface,3,Image 1,9,54912,
29950,,Surface,3,Image 1,9,54913,
174217,,Surface,3,Image 1,9,54914,
146591,,Surface,3,Image 1,9,54915,
79190,,Surface,3,Image 1,9,54916,
217821,,Surface,3,Image 1,9,54917,
83610,,Surface,3,Image 1,9,54918,
78677,,Surface,3,Image 1,9,54919,
150187,,Surface,3,Image 1,9,54920,
151168,,Surface,3,Image 1,9,54921,
429869,,Surface,3,Image 1,9,54922,
144497,,Surface,3,Image 1,9,54923,
26469,,Surface,3,Image 1,9,54924,
97412,,Surface,3,Image 1,9,54925,
26258,,Surface,3,Image 1,9,54926,
114686,,Surface,3,Image 1,9,54927,
109,,Surface,3,Image 1,9,54928,
197836,,Surface,3,Image 1,9,54929,
241081,,Surface,3,Image 1,9,54930,
155351,,Surface,3,Image 1,9,54931,
204642,,Surface,3,Image 1,10,54932,
91772,,Surface,3,Image 1,10,54933,
336219,,Surface,3,Image 1,10,54934,
32419,,Surface,3,Image 1,10,54935,
98278,,Surface,3,Image 1,10,54936,
205447,,Surface,3,Image 1,10,54937,
223596,,Surface,3,Image 1,10,54938,
263450,,Surface,3,Image 1,10,54939,
94463,,Surface,3,Image 1,10,54940,
250829,,Surface,3,Image 1,10,54941,
197674,,Surface,3,Image 1,10,54942,
133410,,Surface,3,Image 1,10,54943,
147884,,Surface,3,Image 1,10,54944,
65864,,Surface,3,Image 1,10,54945,
82438,,Surface,3,Image 1,10,54946,
186420,,Surface,3,Image 1,10,54947,
208968,,Surface,3,Image 1,10,54948,
18054,,Surface,3,Image 1,10,54949,
136093,,Surface,3,Image 1,10,54950,
132241,,Surface,3,Image 1,10,54951,
45257,,Surface,3,Image 1,10,54952,
199767,,Surface,3,Image 1,10,54953,
31727,,Surface,3,Image 1,10,54954,
155576,,Surface,3,Image 1,10,54955,
127907,,Surface,3,Image 1,10,54956,
79835,,Surface,3,Image 1,10,54957,
213252,,Surface,3,Image 1,10,54958,
86822,,Surface,3,Image 1,10,54959,
92457,,Surface,3,Image 1,10,54960,
413861,,Surface,3,Image 1,10,54961,
151008,,Surface,3,Image 1,10,54962,
140782,,Surface,3,Image 1,10,54963,
141678,,Surface,3,Image 1,10,54964,
22862,,Surface,3,Image 1,10,54965,
102998,,Surface,3,Image 1,10,54966,
111893,,Surface,3,Image 1,10,54967,
32591,,Surface,3,Image 1,10,54968,
204753,,Surface,3,Image 1,10,54969,
237776,,Surface,3,Image 1,10,54970,
145136,,Surface,3,Image 1,10,54971,
84620,,Surface,3,Image 1,11,54972,
201545,,Surface,3,Image 1,11,54973,
335125,,Surface,3,Image 1,11,54974,
34420,,Surface,3,Image 1,11,54975,
101960,,Surface,3,Image 1,11,54976,
193524,,Surface,3,Image 1,11,54977,
214197,,Surface,3,Image 1,11,54978,
258874,,Surface,3,Image 1,11,54979,
100890,,Surface,3,Image 1,11,54980,
250349,,Surface,3,Image 1,11,54981,
189426,,Surface,3,Image 1,11,54982,
138046,,Surface,3,Image 1,11,54983,
141968,,Surface,3,Image 1,11,54984,
61631,,Surface,3,Image 1,11,54985,
81755,,Surface,3,Image 1,11,54986,
176065,,Surface,3,Image 1,11,54987,
127443,,Surface,3,Image 1,11,54988,
214381,,Surface,3,Image 1,11,54989,
11787,,Surface,3,Image 1,11,54990,
27310,,Surface,3,Image 1,11,54991,
133304,,Surface,3,Image 1,11,54992,
147774,,Surface,3,Image 1,11,54993,
196009,,Surface,3,Image 1,11,54994,
169969,,Surface,3,Image 1,11,54995,
78975,,Surface,3,Image 1,11,54996,
211606,,Surface,3,Image 1,11,54997,
82310,,Surface,3,Image 1,11,54998,
411651,,Surface,3,Image 1,11,54999,
246162,,Surface,3,Image 1,11,55000,
138898,,Surface,3,Image 1,11,55001,
140143,,Surface,3,Image 1,11,55002,
25718,,Surface,3,Image 1,11,55003,
98782,,Surface,3,Image 1,11,55004,
110194,,Surface,3,Image 1,11,55005,
27502,,Surface,3,Image 1,11,55006,
204105,,Surface,3,Image 1,11,55007,
68,,Surface,3,Image 1,11,55008,
241680,,Surface,3,Image 1,11,55009,
150703,,Surface,3,Image 1,11,55010,
200310,,Surface,3,Image 1,12,55011,
83862,,Surface,3,Image 1,12,55012,
333283,,Surface,3,Image 1,12,55013,
33823,,Surface,3,Image 1,12,55014,
98531,,Surface,3,Image 1,12,55015,
196577,,Surface,3,Image 1,12,55016,
214725,,Surface,3,Image 1,12,55017,
272487,,Surface,3,Image 1,12,55018,
104115,,Surface,3,Image 1,12,55019,
251603,,Surface,3,Image 1,12,55020,
189237,,Surface,3,Image 1,12,55021,
137775,,Surface,3,Image 1,12,55022,
140452,,Surface,3,Image 1,12,55023,
63770,,Surface,3,Image 1,12,55024,
81371,,Surface,3,Image 1,12,55025,
185730,,Surface,3,Image 1,12,55026,
18727,,Surface,3,Image 1,12,55027,
131087,,Surface,3,Image 1,12,55028,
203986,,Surface,3,Image 1,12,55029,
132915,,Surface,3,Image 1,12,55030,
28515,,Surface,3,Image 1,12,55031,
174057,,Surface,3,Image 1,12,55032,
197608,,Surface,3,Image 1,12,55033,
148420,,Surface,3,Image 1,12,55034,
209115,,Surface,3,Image 1,12,55035,
75878,,Surface,3,Image 1,12,55036,
86920,,Surface,3,Image 1,12,55037,
406689,,Surface,3,Image 1,12,55038,
233990,,Surface,3,Image 1,12,55039,
145793,,Surface,3,Image 1,12,55040,
157110,,Surface,3,Image 1,12,55041,
21207,,Surface,3,Image 1,12,55042,
96352,,Surface,3,Image 1,12,55043,
21873,,Surface,3,Image 1,12,55044,
112205,,Surface,3,Image 1,12,55045,
209462,,Surface,3,Image 1,12,55046,
247084,,Surface,3,Image 1,12,55047,
156010,,Surface,3,Image 1,12,55048,
140214,,Surface,3,Image 1,13,55049,
253176,,Surface,3,Image 1,13,55050,
197327,,Surface,3,Image 1,13,55051,
273435,,Surface,3,Image 1,13,55052,
99746,,Surface,3,Image 1,13,55053,
200800,,Surface,3,Image 1,13,55054,
216050,,Surface,3,Image 1,13,55055,
101058,,Surface,3,Image 1,13,55056,
32950,,Surface,3,Image 1,13,55057,
342504,,Surface,3,Image 1,13,55058,
191852,,Surface,3,Image 1,13,55059,
80726,,Surface,3,Image 1,13,55060,
137425,,Surface,3,Image 1,13,55061,
62350,,Surface,3,Image 1,13,55062,
81543,,Surface,3,Image 1,13,55063,
185548,,Surface,3,Image 1,13,55064,
207269,,Surface,3,Image 1,13,55065,
126115,,Surface,3,Image 1,13,55066,
27598,,Surface,3,Image 1,13,55067,
130077,,Surface,3,Image 1,13,55068,
200402,,Surface,3,Image 1,13,55069,
151811,,Surface,3,Image 1,13,55070,
177226,,Surface,3,Image 1,13,55071,
216853,,Surface,3,Image 1,13,55072,
76964,,Surface,3,Image 1,13,55073,
80798,,Surface,3,Image 1,13,55074,
254507,,Surface,3,Image 1,13,55075,
145365,,Surface,3,Image 1,13,55076,
405674,,Surface,3,Image 1,13,55077,
158315,,Surface,3,Image 1,13,55078,
24118,,Surface,3,Image 1,13,55079,
96696,,Surface,3,Image 1,13,55080,
24375,,Surface,3,Image 1,13,55081,
115965,,Surface,3,Image 1,13,55082,
204852,,Surface,3,Image 1,13,55083,
154360,,Surface,3,Image 1,13,55084,
270138,,Surface,3,Image 1,13,55085,
88075,,Surface,3,Image 1,14,55086,
199838,,Surface,3,Image 1,14,55087,
332437,,Surface,3,Image 1,14,55088,
32777,,Surface,3,Image 1,14,55089,
93726,,Surface,3,Image 1,14,55090,
202035,,Surface,3,Image 1,14,55091,
229718,,Surface,3,Image 1,14,55092,
100457,,Surface,3,Image 1,14,55093,
194766,,Surface,3,Image 1,14,55094,
292131,,Surface,3,Image 1,14,55095,
141782,,Surface,3,Image 1,14,55096,
257821,,Surface,3,Image 1,14,55097,
145367,,Surface,3,Image 1,14,55098,
61837,,Surface,3,Image 1,14,55099,
77784,,Surface,3,Image 1,14,55100,
203582,,Surface,3,Image 1,14,55101,
217826,,Surface,3,Image 1,14,55102,
136299,,Surface,3,Image 1,14,55103,
18508,,Surface,3,Image 1,14,55104,
129034,,Surface,3,Image 1,14,55105,
156327,,Surface,3,Image 1,14,55106,
27650,,Surface,3,Image 1,14,55107,
181835,,Surface,3,Image 1,14,55108,
193756,,Surface,3,Image 1,14,55109,
