
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.479911,,Surface,74,57376,
0.251609,,Surface,74,57377,
0.33469,,Surface,74,57378,
0.584014,,Surface,74,57379,
0.488144,,Surface,74,57380,
0.383663,,Surface,74,57381,
0.344669,,Surface,74,57382,
0.276928,,Surface,74,57383,
0.356481,,Surface,74,57384,
0.440297,,Surface,74,57385,
0.337439,,Surface,74,57386,
0.438666,,Surface,74,57387,
0.298647,,Surface,74,57388,
0.486768,,Surface,74,57389,
0.257438,,Surface,75,57390,
0.335631,,Surface,75,57391,
0.338629,,Surface,75,57392,
0.432858,,Surface,75,57393,
0.417098,,Surface,75,57394,
0.257119,,Surface,75,57395,
0.388943,,Surface,75,57396,
0.250852,,Surface,75,57397,
0.328803,,Surface,75,57398,
0.222627,,Surface,75,57399,
0.514922,,Surface,75,57400,
0.200163,,Surface,75,57401,
0.154971,,Surface,75,57402,
0.248244,,Surface,75,57403,
0.278252,,Surface,75,57404,
0.620035,,Surface,75,57405,
0.368462,,Surface,75,57406,
0.370622,,Surface,75,57407,
0.360941,,Surface,75,57408,
0.452896,,Surface,75,57409,
0.335195,,Surface,75,57410,
0.580053,,Surface,75,57411,
0.228411,,Surface,75,57412,
0.514525,,Surface,75,57413,
0.3391,,Surface,75,57414,
0.246356,,Surface,75,57415,
0.591244,,Surface,75,57416,
0.48829,,Surface,75,57417,
0.290549,,Surface,75,57418,
0.347108,,Surface,75,57419,
0.378372,,Surface,75,57420,
0.347849,,Surface,75,57421,
0.47352,,Surface,75,57422,
0.307256,,Surface,75,57423,
0.320286,,Surface,75,57424,
0.300002,,Surface,75,57425,
0.49423,,Surface,75,57426,
0.330248,,Surface,76,57427,
0.419692,,Surface,76,57428,
0.334894,,Surface,76,57429,
0.344268,,Surface,76,57430,
0.419221,,Surface,76,57431,
0.268626,,Surface,76,57432,
0.263507,,Surface,76,57433,
0.368055,,Surface,76,57434,
0.368809,,Surface,76,57435,
0.558254,,Surface,76,57436,
0.211675,,Surface,76,57437,
0.196463,,Surface,76,57438,
0.201649,,Surface,76,57439,
0.59237,,Surface,76,57440,
0.264341,,Surface,76,57441,
0.286426,,Surface,76,57442,
0.245908,,Surface,76,57443,
0.375531,,Surface,76,57444,
0.381833,,Surface,76,57445,
0.332383,,Surface,76,57446,
0.552368,,Surface,76,57447,
0.502213,,Surface,76,57448,
0.212812,,Surface,76,57449,
0.350949,,Surface,76,57450,
0.498415,,Surface,76,57451,
0.250283,,Surface,76,57452,
0.526669,,Surface,76,57453,
0.479911,,Surface,76,57454,
0.343645,,Surface,76,57455,
0.391786,,Surface,76,57456,
0.274563,,Surface,76,57457,
0.383291,,Surface,76,57458,
0.450982,,Surface,76,57459,
0.450245,,Surface,76,57460,
0.259804,,Surface,76,57461,
0.281402,,Surface,76,57462,
0.311705,,Surface,76,57463,
0.453025,,Surface,76,57464,
0.33288,,Surface,77,57465,
0.461192,,Surface,77,57466,
0.337858,,Surface,77,57467,
0.377137,,Surface,77,57468,
0.42478,,Surface,77,57469,
0.363808,,Surface,77,57470,
0.291129,,Surface,77,57471,
0.322804,,Surface,77,57472,
0.545398,,Surface,77,57473,
0.230201,,Surface,77,57474,
0.212692,,Surface,77,57475,
0.181534,,Surface,77,57476,
0.301905,,Surface,77,57477,
0.266483,,Surface,77,57478,
0.585394,,Surface,77,57479,
0.265689,,Surface,77,57480,
0.205738,,Surface,77,57481,
0.342963,,Surface,77,57482,
0.378251,,Surface,77,57483,
0.349509,,Surface,77,57484,
0.53258,,Surface,77,57485,
0.454846,,Surface,77,57486,
0.246228,,Surface,77,57487,
0.375177,,Surface,77,57488,
0.468372,,Surface,77,57489,
0.48296,,Surface,77,57490,
0.258669,,Surface,77,57491,
0.488674,,Surface,77,57492,
0.415113,,Surface,77,57493,
0.365006,,Surface,77,57494,
0.287128,,Surface,77,57495,
0.376528,,Surface,77,57496,
0.473608,,Surface,77,57497,
0.476458,,Surface,77,57498,
0.329625,,Surface,77,57499,
0.391981,,Surface,77,57500,
0.265491,,Surface,77,57501,
0.316641,,Surface,77,57502,
0.435535,,Surface,78,57503,
0.356816,,Surface,78,57504,
0.341776,,Surface,78,57505,
0.364575,,Surface,78,57506,
0.417657,,Surface,78,57507,
0.364817,,Surface,78,57508,
0.276546,,Surface,78,57509,
0.25498,,Surface,78,57510,
0.535649,,Surface,78,57511,
