
BoundingBoxOO Length
 ==================== 
BoundingBoxOO Length A,BoundingBoxOO Length B,BoundingBoxOO Length C,Unit,Category,Collection,Time,TrackID,ID,
10.8244,11.1632,11.8551,um,Surface,BoundingBoxOO Length,2,1000224493,224608,
10.8404,13.4256,13.753,um,Surface,BoundingBoxOO Length,2,1000224490,224609,
11.4474,13.1794,13.7075,um,Surface,BoundingBoxOO Length,2,1000224487,224610,
11.3578,12.5801,13.7652,um,Surface,BoundingBoxOO Length,2,1000224494,224611,
11.7533,13.5326,15.2933,um,Surface,BoundingBoxOO Length,2,1000224495,224612,
10.9896,10.572,13.0688,um,Surface,BoundingBoxOO Length,2,1000224496,224613,
12.9953,17.3476,18.3559,um,Surface,BoundingBoxOO Length,2,1000224492,224614,
11.8521,12.5504,13.3054,um,Surface,BoundingBoxOO Length,2,1000224502,224615,
11.4114,13.2224,14.3599,um,Surface,BoundingBoxOO Length,2,1000224497,224616,
12.1588,15.0952,16.3895,um,Surface,BoundingBoxOO Length,2,1000224499,224617,
10.9381,11.7155,13.5539,um,Surface,BoundingBoxOO Length,2,1000224501,224618,
12.355,15.7786,22.3077,um,Surface,BoundingBoxOO Length,2,1000224500,224619,
11.0097,12.1193,11.8848,um,Surface,BoundingBoxOO Length,2,1000224498,224620,
10.9794,13.1498,13.5408,um,Surface,BoundingBoxOO Length,2,1000224504,224621,
12.3593,12.0688,12.7393,um,Surface,BoundingBoxOO Length,2,1000224506,224622,
10.472,11.7022,12.7789,um,Surface,BoundingBoxOO Length,2,1000224503,224623,
12.2516,14.2919,15.0002,um,Surface,BoundingBoxOO Length,2,1000224505,224624,
11.9896,12.8001,14.2559,um,Surface,BoundingBoxOO Length,2,1000224507,224625,
10.3257,11.7845,24.239,um,Surface,BoundingBoxOO Length,2,1000224509,224626,
12.7443,12.6789,14.4411,um,Surface,BoundingBoxOO Length,2,1000224508,224627,
10.8249,12.469,13.1129,um,Surface,BoundingBoxOO Length,2,1000224510,224628,
11.9421,11.4038,15.0839,um,Surface,BoundingBoxOO Length,2,1000224512,224629,
12.4833,11.939,13.3851,um,Surface,BoundingBoxOO Length,2,1000224511,224630,
11.707,13.1681,16.8261,um,Surface,BoundingBoxOO Length,2,1000224519,224631,
11.5692,13.3093,16.9162,um,Surface,BoundingBoxOO Length,2,1000224515,224632,
11.7153,13.0761,13.5458,um,Surface,BoundingBoxOO Length,2,1000224517,224633,
10.8231,12.2607,12.7117,um,Surface,BoundingBoxOO Length,2,1000224513,224634,
10.6519,11.8423,13.2478,um,Surface,BoundingBoxOO Length,2,1000224514,224635,
12.7967,13.9608,17.819,um,Surface,BoundingBoxOO Length,2,1000224521,224636,
10.5945,11.4961,12.1016,um,Surface,BoundingBoxOO Length,2,1000224520,224637,
12.6064,13.8121,14.0176,um,Surface,BoundingBoxOO Length,2,1000224516,224638,
