
BoundingBoxAA Length
 ==================== 
BoundingBoxAA Length X,BoundingBoxAA Length Y,BoundingBoxAA Length Z,Unit,Category,Collection,Time,TrackID,ID,
14.1699,14.1699,14.7,um,Surface,BoundingBoxAA Length,2,1000224466,224576,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,2,1000224467,224577,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,2,1000224458,224578,
14.1699,17.7124,13.65,um,Surface,BoundingBoxAA Length,2,1000224459,224579,
14.1699,14.1698,14.7,um,Surface,BoundingBoxAA Length,2,1000224461,224580,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,2,1000224460,224581,
14.1699,14.1699,12.6,um,Surface,BoundingBoxAA Length,2,1000224462,224582,
21.2548,21.2548,15.75,um,Surface,BoundingBoxAA Length,2,1000224463,224583,
17.7123,17.7123,17.85,um,Surface,BoundingBoxAA Length,2,1000224468,224584,
14.1698,14.1699,12.6,um,Surface,BoundingBoxAA Length,2,1000224470,224585,
14.1699,14.1698,14.7,um,Surface,BoundingBoxAA Length,2,1000224464,224586,
14.1699,14.1699,14.7,um,Surface,BoundingBoxAA Length,2,1000224465,224587,
17.7123,14.1699,13.65,um,Surface,BoundingBoxAA Length,2,1000224471,224588,
14.1699,14.1699,12.6,um,Surface,BoundingBoxAA Length,2,1000224473,224589,
10.6274,14.1699,11.55,um,Surface,BoundingBoxAA Length,2,1000224469,224590,
14.1699,14.1698,14.7,um,Surface,BoundingBoxAA Length,2,1000224474,224591,
14.1699,14.1699,16.8,um,Surface,BoundingBoxAA Length,2,1000224475,224592,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,2,1000224472,224593,
14.1698,17.7123,12.6,um,Surface,BoundingBoxAA Length,2,1000224477,224594,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,2,1000224478,224595,
17.7123,17.7124,15.75,um,Surface,BoundingBoxAA Length,2,1000224479,224596,
10.6274,17.7123,13.65,um,Surface,BoundingBoxAA Length,2,1000224480,224597,
