
Ellipsoid Axis C
 ==================== 
Ellipsoid Axis C X,Ellipsoid Axis C Y,Ellipsoid Axis C Z,Unit,Category,Collection,Time,TrackID,ID,
-39.8724,436.848,898.651,um,Surface,Ellipsoid Axis C,1,1000224556,224556,
222.781,89.4599,970.755,um,Surface,Ellipsoid Axis C,1,1000224557,224557,
141.238,744.376,652.653,um,Surface,Ellipsoid Axis C,1,1000224558,224558,
539.186,-210.601,815.43,um,Surface,Ellipsoid Axis C,1,1000224559,224559,
380.244,-442.725,812.04,um,Surface,Ellipsoid Axis C,1,1000224560,224560,
29.2833,535.988,843.717,um,Surface,Ellipsoid Axis C,1,1000224561,224561,
20.9939,643.66,765.023,um,Surface,Ellipsoid Axis C,1,1000224562,224562,
-38.2112,-55.1426,997.747,um,Surface,Ellipsoid Axis C,1,1000224563,224563,
41.6897,751.663,658.228,um,Surface,Ellipsoid Axis C,1,1000224564,224564,
718.284,162.766,676.444,um,Surface,Ellipsoid Axis C,1,1000224565,224565,
131.345,-43.1245,990.398,um,Surface,Ellipsoid Axis C,1,1000224566,224566,
381.604,209.234,900.333,um,Surface,Ellipsoid Axis C,1,1000224567,224567,
32.4082,106.626,993.771,um,Surface,Ellipsoid Axis C,1,1000224568,224568,
-33.478,165.09,985.71,um,Surface,Ellipsoid Axis C,1,1000224569,224569,
21.304,253.579,967.08,um,Surface,Ellipsoid Axis C,1,1000224570,224570,
-82.861,110.44,990.423,um,Surface,Ellipsoid Axis C,1,1000224571,224571,
-224.964,-111.134,968.008,um,Surface,Ellipsoid Axis C,1,1000224572,224572,
-55.3247,-5.76538e-13,998.468,um,Surface,Ellipsoid Axis C,1,1000224573,224573,
6.90583e-12,-324.294,945.956,um,Surface,Ellipsoid Axis C,1,1000224574,224574,
358.921,87.1983,929.286,um,Surface,Ellipsoid Axis C,1,1000224575,224575,
116.115,104.451,987.728,um,Surface,Ellipsoid Axis C,2,1000224466,224576,
150.968,-309.652,938.789,um,Surface,Ellipsoid Axis C,2,1000224467,224577,
665.264,207.577,717.172,um,Surface,Ellipsoid Axis C,2,1000224458,224578,
-147.063,262.457,953.671,um,Surface,Ellipsoid Axis C,2,1000224459,224579,
141.87,-279.993,949.461,um,Surface,Ellipsoid Axis C,2,1000224461,224580,
331.173,-226.327,916.024,um,Surface,Ellipsoid Axis C,2,1000224460,224581,
165.115,-422.477,891.207,um,Surface,Ellipsoid Axis C,2,1000224462,224582,
895.622,-400.978,-192.557,um,Surface,Ellipsoid Axis C,2,1000224463,224583,
170.419,-229.262,958.33,um,Surface,Ellipsoid Axis C,2,1000224468,224584,
348.355,-594.307,724.878,um,Surface,Ellipsoid Axis C,2,1000224470,224585,
242.572,-331.764,911.642,um,Surface,Ellipsoid Axis C,2,1000224464,224586,
-4.39806,-169.971,985.439,um,Surface,Ellipsoid Axis C,2,1000224465,224587,
-104.816,382.051,918.178,um,Surface,Ellipsoid Axis C,2,1000224471,224588,
90.9554,743.242,662.811,um,Surface,Ellipsoid Axis C,2,1000224473,224589,
62.5289,88.4644,-994.115,um,Surface,Ellipsoid Axis C,2,1000224469,224590,
