
Displacement Delta Length
 ==================== 
Displacement Delta Length,Unit,Category,Time,TrackID,ID,
9.46322,um,Surface,70,1000224496,235430,
1.57888,um,Surface,70,1000224504,235431,
0.751027,um,Surface,70,1000226074,235432,
2.43631,um,Surface,70,1000224492,235433,
2.79218,um,Surface,70,1000224510,235434,
6.98397,um,Surface,70,1000228532,235435,
2.45537,um,Surface,70,1000224506,235436,
3.89078,um,Surface,70,1000228208,235437,
5.10699,um,Surface,70,1000224505,235438,
1.43283,um,Surface,70,1000224500,235439,
5.04428,um,Surface,70,1000226826,235440,
2.60878,um,Surface,70,1000224501,235441,
4.71649,um,Surface,70,1000224507,235442,
2.12737,um,Surface,70,1000224503,235443,
0.269011,um,Surface,70,1000224508,235444,
2.6486,um,Surface,70,1000224521,235445,
1.03392,um,Surface,70,1000225008,235446,
2.56935,um,Surface,70,1000226515,235447,
2.84285,um,Surface,70,1000224513,235448,
0.912842,um,Surface,70,1000224512,235449,
2.06536,um,Surface,70,1000224515,235450,
1.09988,um,Surface,70,1000224518,235451,
0.69301,um,Surface,70,1000224511,235452,
0.764482,um,Surface,70,1000234078,235453,
2.74958,um,Surface,70,1000224509,235454,
0.379341,um,Surface,70,1000224517,235455,
6.95619,um,Surface,70,1000224771,235456,
4.33978,um,Surface,70,1000224516,235457,
1.81236,um,Surface,70,1000229855,235458,
5.95502,um,Surface,70,1000224522,235459,
9.69503,um,Surface,70,1000224514,235460,
9.77598,um,Surface,70,1000224523,235461,
0.275691,um,Surface,70,1000224524,235462,
2.58883,um,Surface,70,1000224528,235463,
0.765559,um,Surface,70,1000224520,235464,
2.09908,um,Surface,70,1000226081,235465,
1.95001,um,Surface,70,1000224525,235466,
3.37595,um,Surface,70,1000224531,235467,
1.56946,um,Surface,70,1000225970,235468,
3.71815,um,Surface,70,1000226996,235469,
1.67331,um,Surface,70,1000224532,235470,
3.93649,um,Surface,70,1000224527,235471,
0.45089,um,Surface,70,1000224526,235472,
0.499927,um,Surface,70,1000227755,235473,
0.652876,um,Surface,70,1000224519,235474,
1.22324,um,Surface,70,1000224533,235475,
3.38096,um,Surface,70,1000224535,235476,
1.94023,um,Surface,70,1000224529,235477,
1.42923,um,Surface,70,1000225699,235478,
1.28565,um,Surface,70,1000226120,235479,
0.421201,um,Surface,70,1000224530,235480,
0.720416,um,Surface,70,1000226406,235481,
3.42314,um,Surface,70,1000224534,235482,
1.56224,um,Surface,70,1000224905,235483,
0.935778,um,Surface,70,1000224538,235484,
2.39251,um,Surface,70,1000234804,235485,
0.722317,um,Surface,70,1000225028,235486,
3.48673,um,Surface,70,1000224541,235487,
2.25054,um,Surface,70,1000224536,235488,
1.5353,um,Surface,70,1000224537,235489,
1.91699,um,Surface,70,1000224539,235490,
4.90313,um,Surface,70,1000224550,235491,
2.70134,um,Surface,70,1000224546,235492,
3.51335,um,Surface,70,1000224549,235493,
1.25047,um,Surface,70,1000224540,235494,
4.33901,um,Surface,70,1000224543,235495,
3.03424,um,Surface,70,1000224548,235496,
5.07277,um,Surface,70,1000235321,235497,
3.51535,um,Surface,70,1000234294,235498,
4.14269,um,Surface,70,1000224547,235499,
0.471617,um,Surface,70,1000224553,235500,
1.02453,um,Surface,70,1000224544,235501,
0.402069,um,Surface,70,1000225444,235502,
1.51387,um,Surface,70,1000224555,235503,
3.89037,um,Surface,70,1000226574,235504,
8.25339,um,Surface,70,1000229407,235505,
2.11928,um,Surface,70,1000224552,235506,
2.09036,um,Surface,70,1000224798,235507,
3.08662,um,Surface,70,1000224551,235508,
3.51922,um,Surface,70,1000224554,235509,
0.636871,um,Surface,70,1000224562,235510,
1.31305,um,Surface,70,1000224557,235511,
3.10959,um,Surface,70,1000224556,235512,
2.22763,um,Surface,70,1000224563,235513,
0.431898,um,Surface,70,1000224542,235514,
3.13789,um,Surface,70,1000224561,235515,
0.692497,um,Surface,70,1000224558,235516,
0.877168,um,Surface,70,1000224565,235517,
0.59402,um,Surface,70,1000224566,235518,
0.857104,um,Surface,70,1000224567,235519,
1.72147,um,Surface,70,1000224560,235520,
1.13306,um,Surface,70,1000224805,235521,
0.45254,um,Surface,70,1000226740,235522,
4.21292,um,Surface,70,1000224564,235523,
0.855348,um,Surface,70,1000224570,235524,
0.660954,um,Surface,70,1000224802,235525,
0.636973,um,Surface,70,1000232264,235526,
1.08717,um,Surface,70,1000224559,235527,
0.635296,um,Surface,70,1000224674,235528,
2.09263,um,Surface,70,1000224940,235529,
0.575475,um,Surface,70,1000224814,235530,
5.53767,um,Surface,70,1000224569,235531,
2.71327,um,Surface,70,1000224568,235532,
1.28636,um,Surface,70,1000224571,235533,
4.02564,um,Surface,70,1000224572,235534,
3.43727,um,Surface,70,1000224573,235535,
2.68909,um,Surface,70,1000224575,235536,
2.40099,um,Surface,70,1000224693,235537,
0.988684,um,Surface,70,1000227057,235538,
0.976036,um,Surface,70,1000227515,235539,
0.882374,um,Surface,70,1000224574,235540,
0.530616,um,Surface,70,1000229769,235541,
2.12392,um,Surface,70,1000234508,235542,
3.30802,um,Surface,71,1000226759,235543,
5.3093,um,Surface,71,1000224468,235544,
1.99477,um,Surface,71,1000224467,235545,
2.15276,um,Surface,71,1000224464,235546,
2.81179,um,Surface,71,1000224469,235547,
5.28215,um,Surface,71,1000226467,235548,
2.82261,um,Surface,71,1000224470,235549,
2.86627,um,Surface,71,1000224466,235550,
1.29638,um,Surface,71,1000224465,235551,
1.26087,um,Surface,71,1000224459,235552,
4.27676,um,Surface,71,1000224463,235553,
2.18725,um,Surface,71,1000224461,235554,
1.94523,um,Surface,71,1000224460,235555,
2.35437,um,Surface,71,1000224462,235556,
2.5866,um,Surface,71,1000228809,235557,
11.7099,um,Surface,71,1000227528,235558,
3.77624,um,Surface,71,1000225091,235559,
1.84866,um,Surface,71,1000224473,235560,
1.82299,um,Surface,71,1000224701,235561,
2.74242,um,Surface,71,1000225210,235562,
0.580174,um,Surface,71,1000228485,235563,
2.11198,um,Surface,71,1000234024,235564,
2.19001,um,Surface,71,1000224472,235565,
4.26292,um,Surface,71,1000224478,235566,
0.470994,um,Surface,71,1000224477,235567,
0.240477,um,Surface,71,1000225621,235568,
3.80802,um,Surface,71,1000224474,235569,
0.13703,um,Surface,71,1000224480,235570,
2.67671,um,Surface,71,1000224486,235571,
2.58809,um,Surface,71,1000229314,235572,
1.58489,um,Surface,71,1000224475,235573,
2.44051,um,Surface,71,1000226336,235574,
9.20017,um,Surface,71,1000224483,235575,
1.19969,um,Surface,71,1000224476,235576,
4.06979,um,Surface,71,1000224491,235577,
3.47016,um,Surface,71,1000224481,235578,
0.255761,um,Surface,71,1000229808,235579,
1.16368,um,Surface,71,1000232319,235580,
1.67613,um,Surface,71,1000227400,235581,
2.3889,um,Surface,71,1000224482,235582,
0.625079,um,Surface,71,1000231813,235583,
4.50914,um,Surface,71,1000224840,235584,
2.93377,um,Surface,71,1000230137,235585,
1.57286,um,Surface,71,1000226044,235586,
2.36147,um,Surface,71,1000224490,235587,
1.75631,um,Surface,71,1000227233,235588,
0.421585,um,Surface,71,1000224485,235589,
7.27283,um,Surface,71,1000234726,235590,
0.51113,um,Surface,71,1000230629,235591,
2.56825,um,Surface,71,1000224489,235592,
3.45694,um,Surface,71,1000224488,235593,
2.56636,um,Surface,71,1000224495,235594,
1.37234,um,Surface,71,1000224502,235595,
3.64523,um,Surface,71,1000224493,235596,
0.485653,um,Surface,71,1000224487,235597,
2.1704,um,Surface,71,1000231654,235598,
1.91348,um,Surface,71,1000226074,235599,
1.08945,um,Surface,71,1000225660,235600,
4.65763,um,Surface,71,1000224492,235601,
2.8218,um,Surface,71,1000224494,235602,
2.01696,um,Surface,71,1000224510,235603,
3.47756,um,Surface,71,1000228208,235604,
5.39559,um,Surface,71,1000228532,235605,
3.69767,um,Surface,71,1000224505,235606,
10.0463,um,Surface,71,1000224504,235607,
0.807585,um,Surface,71,1000224500,235608,
0.610999,um,Surface,71,1000224501,235609,
2.35805,um,Surface,71,1000224506,235610,
4.89695,um,Surface,71,1000224496,235611,
4.36113,um,Surface,71,1000224503,235612,
1.01052,um,Surface,71,1000224508,235613,
2.899,um,Surface,71,1000226826,235614,
3.38231,um,Surface,71,1000226515,235615,
0.978308,um,Surface,71,1000224513,235616,
1.60464,um,Surface,71,1000224512,235617,
3.45215,um,Surface,71,1000224507,235618,
0.731166,um,Surface,71,1000224511,235619,
0.513015,um,Surface,71,1000224518,235620,
0.608822,um,Surface,71,1000225008,235621,
3.15595,um,Surface,71,1000224515,235622,
0.384413,um,Surface,71,1000234078,235623,
6.98586,um,Surface,71,1000224522,235624,
4.66778,um,Surface,71,1000224771,235625,
6.94364,um,Surface,71,1000224516,235626,
2.6833,um,Surface,71,1000224523,235627,
2.92442,um,Surface,71,1000224514,235628,
5.86311,um,Surface,71,1000229855,235629,
4.17559,um,Surface,71,1000224509,235630,
1.65328,um,Surface,71,1000224517,235631,
0.845718,um,Surface,71,1000224524,235632,
1.15789,um,Surface,71,1000224525,235633,
0.841135,um,Surface,71,1000226081,235634,
3.63593,um,Surface,71,1000224531,235635,
3.15631,um,Surface,71,1000226996,235636,
1.41715,um,Surface,71,1000225970,235637,
3.22431,um,Surface,71,1000224528,235638,
0.521003,um,Surface,71,1000224520,235639,
3.83187,um,Surface,71,1000224527,235640,
0.684362,um,Surface,71,1000224526,235641,
0.836317,um,Surface,71,1000227755,235642,
2.79489,um,Surface,71,1000224533,235643,
2.27475,um,Surface,71,1000224535,235644,
1.45196,um,Surface,71,1000224529,235645,
3.08372,um,Surface,71,1000224532,235646,
3.62631,um,Surface,71,1000225699,235647,
2.71037,um,Surface,71,1000224530,235648,
3.60623,um,Surface,71,1000224534,235649,
1.76293,um,Surface,71,1000226406,235650,
0.982447,um,Surface,71,1000224519,235651,
0.564788,um,Surface,71,1000224538,235652,
4.3419,um,Surface,71,1000225028,235653,
2.1844,um,Surface,71,1000226120,235654,
9.03334,um,Surface,71,1000224539,235655,
0.794382,um,Surface,71,1000224537,235656,
2.01678,um,Surface,71,1000224905,235657,
1.74143,um,Surface,71,1000234804,235658,
0.878619,um,Surface,71,1000224546,235659,
1.26111,um,Surface,71,1000224540,235660,
4.78977,um,Surface,71,1000224541,235661,
1.48659,um,Surface,71,1000224536,235662,
1.4307,um,Surface,71,1000224544,235663,
2.64725,um,Surface,71,1000224550,235664,
1.68741,um,Surface,71,1000224549,235665,
1.55273,um,Surface,71,1000235321,235666,
1.21349,um,Surface,71,1000224543,235667,
2.07371,um,Surface,71,1000224548,235668,
7.3932,um,Surface,71,1000224552,235669,
1.86106,um,Surface,71,1000224553,235670,
2.30658,um,Surface,71,1000224547,235671,
0.689509,um,Surface,71,1000225444,235672,
1.1438,um,Surface,71,1000224555,235673,
1.24562,um,Surface,71,1000229407,235674,
1.38595,um,Surface,71,1000226574,235675,
2.23782,um,Surface,71,1000224542,235676,
1.49256,um,Surface,71,1000224551,235677,
5.25245,um,Surface,71,1000224554,235678,
0.698032,um,Surface,71,1000224562,235679,
3.38603,um,Surface,71,1000224798,235680,
3.02074,um,Surface,71,1000224557,235681,
0.735283,um,Surface,71,1000224558,235682,
2.96832,um,Surface,71,1000224556,235683,
1.22876,um,Surface,71,1000224560,235684,
6.37881,um,Surface,71,1000224802,235685,
2.89408,um,Surface,71,1000224805,235686,
2.05538,um,Surface,71,1000224561,235687,
3.5327,um,Surface,71,1000224563,235688,
2.53037,um,Surface,71,1000224564,235689,
1.81768,um,Surface,71,1000224570,235690,
7.72673,um,Surface,71,1000224565,235691,
0.513884,um,Surface,71,1000224566,235692,
6.58228,um,Surface,71,1000224567,235693,
1.11205,um,Surface,71,1000232264,235694,
1.00164,um,Surface,71,1000224674,235695,
1.21052,um,Surface,71,1000224559,235696,
0.505146,um,Surface,71,1000226740,235697,
0.796774,um,Surface,71,1000224940,235698,
0.696163,um,Surface,71,1000224814,235699,
2.06425,um,Surface,71,1000224569,235700,
1.19564,um,Surface,71,1000224568,235701,
1.36669,um,Surface,71,1000224571,235702,
3.46897,um,Surface,71,1000224572,235703,
0.848043,um,Surface,71,1000224573,235704,
2.73406,um,Surface,71,1000224575,235705,
4.41395,um,Surface,71,1000224693,235706,
0.574459,um,Surface,71,1000227057,235707,
0.855551,um,Surface,71,1000227515,235708,
2.50839,um,Surface,71,1000224574,235709,
9.11021,um,Surface,71,1000229769,235710,
4.49757,um,Surface,71,1000234508,235711,
2.22608,um,Surface,72,1000228485,235712,
1.77409,um,Surface,72,1000226759,235713,
7.26149,um,Surface,72,1000224468,235714,
3.54248,um,Surface,72,1000224464,235715,
0.690791,um,Surface,72,1000224467,235716,
1.81652,um,Surface,72,1000224469,235717,
6.41515,um,Surface,72,1000224470,235718,
0.834383,um,Surface,72,1000224466,235719,
3.60205,um,Surface,72,1000226467,235720,
1.29969,um,Surface,72,1000224465,235721,
17.0306,um,Surface,72,1000224458,235722,
1.61969,um,Surface,72,1000224459,235723,
2.34224,um,Surface,72,1000224463,235724,
1.54844,um,Surface,72,1000224461,235725,
0.25893,um,Surface,72,1000224460,235726,
2.56438,um,Surface,72,1000224462,235727,
4.26726,um,Surface,72,1000228809,235728,
16.7697,um,Surface,72,1000227528,235729,
1.93382,um,Surface,72,1000225091,235730,
1.74274,um,Surface,72,1000224473,235731,
4.57615,um,Surface,72,1000224701,235732,
0.603155,um,Surface,72,1000225210,235733,
1.87081,um,Surface,72,1000225621,235734,
1.88578,um,Surface,72,1000224472,235735,
4.80207,um,Surface,72,1000224478,235736,
0.848119,um,Surface,72,1000224477,235737,
