
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,TrackID,ID,
0.309058,,Surface,299,1000226074,266775,
0.419852,,Surface,299,1000266698,266776,
0.389129,,Surface,299,1000228532,266777,
0.713154,,Surface,299,1000224512,266778,
0.313646,,Surface,299,1000226515,266779,
0.332208,,Surface,299,1000251530,266780,
0.46363,,Surface,299,1000260805,266781,
0.436309,,Surface,299,1000224507,266782,
0.402015,,Surface,299,1000264276,266783,
0.275837,,Surface,299,1000234078,266784,
0.510649,,Surface,299,1000224533,266785,
0.434554,,Surface,299,1000224525,266786,
0.252388,,Surface,299,1000250170,266787,
0.343263,,Surface,299,1000224543,266788,
0.368124,,Surface,299,1000238489,266789,
0.607624,,Surface,299,1000224534,266790,
0.242625,,Surface,299,1000258389,266791,
0.192001,,Surface,299,1000224535,266792,
0.556221,,Surface,299,1000226406,266793,
0.333829,,Surface,299,1000224540,266794,
0.54228,,Surface,299,1000224546,266795,
0.358053,,Surface,299,1000261378,266796,
0.449908,,Surface,299,1000224539,266797,
0.298133,,Surface,299,1000260596,266798,
0.477694,,Surface,299,1000224550,266799,
0.284277,,Surface,299,1000224566,266800,
0.396738,,Surface,299,1000240279,266801,
0.0986079,,Surface,299,1000252809,266802,
0.492101,,Surface,299,1000248563,266803,
0.247376,,Surface,299,1000252058,266804,
0.205503,,Surface,299,1000248583,266805,
0.381617,,Surface,299,1000263717,266806,
0.408827,,Surface,299,1000263339,266807,
0.367936,,Surface,299,1000261272,266808,
0.649315,,Surface,299,1000257664,266809,
0.487025,,Surface,299,1000262231,266810,
0.20041,,Surface,299,1000224560,266811,
0.423527,,Surface,299,1000260069,266812,
0.279624,,Surface,299,1000224559,266813,
0.298291,,Surface,299,1000224568,266814,
0.477331,,Surface,299,1000224940,266815,
0.42215,,Surface,299,1000255599,266816,
0.232951,,Surface,299,1000259847,266817,
0.323969,,Surface,299,1000247113,266818,
0.491733,,Surface,299,1000250231,266819,
0.166165,,Surface,299,1000248436,266820,
0.336014,,Surface,299,1000248444,266821,
0.178891,,Surface,300,1000259637,266822,
0.271192,,Surface,300,1000241014,266823,
0.390725,,Surface,300,1000224473,266824,
0.415686,,Surface,300,1000260758,266825,
0.270707,,Surface,300,1000228485,266826,
0.403117,,Surface,300,1000257942,266827,
0.387774,,Surface,300,1000262358,266828,
0.614692,,Surface,300,1000258922,266829,
0.555894,,Surface,300,1000224463,266830,
0.458156,,Surface,300,1000226759,266831,
0.268324,,Surface,300,1000266437,266832,
0.679728,,Surface,300,1000260645,266833,
0.404671,,Surface,300,1000243967,266834,
0.474308,,Surface,300,1000224474,266835,
0.382983,,Surface,300,1000225621,266836,
0.491594,,Surface,300,1000257204,266837,
0.433476,,Surface,300,1000265682,266838,
0.584196,,Surface,300,1000264618,266839,
0.230821,,Surface,300,1000224486,266840,
0.460896,,Surface,300,1000241906,266841,
0.320538,,Surface,300,1000239472,266842,
0.597252,,Surface,300,1000238432,266843,
0.391647,,Surface,300,1000266761,266844,
0.226225,,Surface,300,1000234024,266845,
0.328435,,Surface,300,1000266765,266846,
0.594283,,Surface,300,1000261954,266847,
0.392403,,Surface,300,1000254226,266848,
0.299543,,Surface,300,1000253792,266849,
0.114622,,Surface,300,1000264627,266850,
0.282064,,Surface,300,1000260331,266851,
0.488894,,Surface,300,1000256074,266852,
0.561254,,Surface,300,1000226074,266853,
0.31792,,Surface,300,1000263392,266854,
0.243565,,Surface,300,1000264536,266855,
0.319082,,Surface,300,1000224505,266856,
0.364543,,Surface,300,1000226515,266857,
0.529106,,Surface,300,1000266698,266858,
0.473155,,Surface,300,1000224512,266859,
0.50128,,Surface,300,1000251530,266860,
0.435956,,Surface,300,1000260805,266861,
0.275755,,Surface,300,1000224507,266862,
0.1194,,Surface,300,1000264276,266863,
0.270723,,Surface,300,1000234078,266864,
0.338959,,Surface,300,1000250170,266865,
0.65453,,Surface,300,1000224533,266866,
0.384999,,Surface,300,1000238489,266867,
0.57236,,Surface,300,1000224525,266868,
0.303104,,Surface,300,1000224543,266869,
0.60492,,Surface,300,1000224534,266870,
0.654335,,Surface,300,1000258389,266871,
0.432892,,Surface,300,1000226406,266872,
0.209214,,Surface,300,1000255008,266873,
0.347099,,Surface,300,1000225028,266874,
0.262529,,Surface,300,1000224535,266875,
0.370284,,Surface,300,1000224540,266876,
0.24169,,Surface,300,1000261378,266877,
0.3857,,Surface,300,1000224539,266878,
0.333045,,Surface,300,1000260596,266879,
0.589981,,Surface,300,1000224546,266880,
0.33474,,Surface,300,1000234804,266881,
0.393612,,Surface,300,1000224566,266882,
0.449002,,Surface,300,1000238387,266883,
0.230037,,Surface,300,1000252809,266884,
0.329064,,Surface,300,1000248563,266885,
0.391387,,Surface,300,1000248583,266886,
0.304561,,Surface,300,1000252058,266887,
0.440905,,Surface,300,1000263339,266888,
0.247326,,Surface,300,1000263717,266889,
0.355985,,Surface,300,1000224560,266890,
0.329785,,Surface,300,1000257664,266891,
