
Ellipsoid Axis A
 ==================== 
Ellipsoid Axis A X,Ellipsoid Axis A Y,Ellipsoid Axis A Z,Unit,Category,Collection,Time,TrackID,ID,
998.312,6.50221,-57.717,um,Surface,Ellipsoid Axis A,2,1000224480,224597,
907.529,415.097,-63.9123,um,Surface,Ellipsoid Axis A,2,1000224476,224598,
570.805,820.854,19.4908,um,Surface,Ellipsoid Axis A,2,1000224482,224599,
191.945,280.712,940.403,um,Surface,Ellipsoid Axis A,2,1000224483,224600,
-635.534,-741.498,-215.123,um,Surface,Ellipsoid Axis A,2,1000224484,224601,
963.676,143.249,-225.408,um,Surface,Ellipsoid Axis A,2,1000224481,224602,
989.077,143.825,32.2602,um,Surface,Ellipsoid Axis A,2,1000224486,224603,
-973.8,87.7354,209.798,um,Surface,Ellipsoid Axis A,2,1000224485,224604,
654.89,-660.485,367.258,um,Surface,Ellipsoid Axis A,2,1000224491,224605,
238.213,-970.03,47.927,um,Surface,Ellipsoid Axis A,2,1000224489,224606,
968.737,72.0575,-237.394,um,Surface,Ellipsoid Axis A,2,1000224488,224607,
942.835,-160.944,291.82,um,Surface,Ellipsoid Axis A,2,1000224493,224608,
-998.665,46.6821,-22.1001,um,Surface,Ellipsoid Axis A,2,1000224490,224609,
963.035,40.2998,266.344,um,Surface,Ellipsoid Axis A,2,1000224487,224610,
959.787,37.1613,278.259,um,Surface,Ellipsoid Axis A,2,1000224494,224611,
-633.776,-652.662,-415.163,um,Surface,Ellipsoid Axis A,2,1000224495,224612,
990.119,140.165,-4.20126,um,Surface,Ellipsoid Axis A,2,1000224496,224613,
-502.257,-132.031,854.579,um,Surface,Ellipsoid Axis A,2,1000224492,224614,
-668.433,-688.911,280.357,um,Surface,Ellipsoid Axis A,2,1000224502,224615,
602.048,751.811,-268.919,um,Surface,Ellipsoid Axis A,2,1000224497,224616,
-139.869,0.515112,-990.17,um,Surface,Ellipsoid Axis A,2,1000224499,224617,
