
Area
 ==================== 
Area,Unit,Category,Time,ID,
1182.27,um^2,Surface,10,75493,
9321.32,um^2,Surface,10,75494,
8270.43,um^2,Surface,10,75495,
7212.39,um^2,Surface,10,75496,
11616.2,um^2,Surface,10,75497,
5981.84,um^2,Surface,10,75498,
4941.42,um^2,Surface,10,75499,
9309.57,um^2,Surface,10,75500,
2083.05,um^2,Surface,10,75501,
2959.44,um^2,Surface,10,75502,
10513.4,um^2,Surface,10,75503,
5029.57,um^2,Surface,10,75504,
1386.74,um^2,Surface,10,75505,
4463.8,um^2,Surface,10,75506,
2373.84,um^2,Surface,10,75507,
3896.26,um^2,Surface,10,75508,
20251.5,um^2,Surface,10,75509,
5598.68,um^2,Surface,10,75510,
11642.6,um^2,Surface,10,75511,
8537.7,um^2,Surface,10,75512,
11497.8,um^2,Surface,10,75513,
7780.55,um^2,Surface,10,75514,
22199.1,um^2,Surface,10,75515,
9929.75,um^2,Surface,11,75516,
6769.75,um^2,Surface,11,75517,
4296.16,um^2,Surface,11,75518,
1219.18,um^2,Surface,11,75519,
7060.99,um^2,Surface,11,75520,
1878.6,um^2,Surface,11,75521,
1675.3,um^2,Surface,11,75522,
1509.11,um^2,Surface,11,75523,
10473.3,um^2,Surface,11,75524,
5824.56,um^2,Surface,11,75525,
1212.93,um^2,Surface,11,75526,
9597.03,um^2,Surface,11,75527,
7184.25,um^2,Surface,11,75528,
8369.65,um^2,Surface,11,75529,
7300.3,um^2,Surface,11,75530,
11707.7,um^2,Surface,11,75531,
6130.48,um^2,Surface,11,75532,
4848.69,um^2,Surface,11,75533,
9414.07,um^2,Surface,11,75534,
2408.89,um^2,Surface,11,75535,
10445,um^2,Surface,11,75536,
2914.52,um^2,Surface,11,75537,
5232.48,um^2,Surface,11,75538,
1502.07,um^2,Surface,11,75539,
4486.72,um^2,Surface,11,75540,
2296.63,um^2,Surface,11,75541,
3979.87,um^2,Surface,11,75542,
20267.5,um^2,Surface,11,75543,
11169,um^2,Surface,11,75544,
5700.18,um^2,Surface,11,75545,
8605.52,um^2,Surface,11,75546,
11251.1,um^2,Surface,11,75547,
919.69,um^2,Surface,11,75548,
8052.75,um^2,Surface,11,75549,
22127.1,um^2,Surface,11,75550,
9935.95,um^2,Surface,12,75551,
6916.38,um^2,Surface,12,75552,
4560.57,um^2,Surface,12,75553,
1139.54,um^2,Surface,12,75554,
1749.83,um^2,Surface,12,75555,
2591.17,um^2,Surface,12,75556,
7131.31,um^2,Surface,12,75557,
1412.57,um^2,Surface,12,75558,
10348.1,um^2,Surface,12,75559,
6016.48,um^2,Surface,12,75560,
9485.72,um^2,Surface,12,75561,
7128.63,um^2,Surface,12,75562,
1185.21,um^2,Surface,12,75563,
8333.96,um^2,Surface,12,75564,
7472.54,um^2,Surface,12,75565,
11451.7,um^2,Surface,12,75566,
5906.71,um^2,Surface,12,75567,
4798.35,um^2,Surface,12,75568,
9766.57,um^2,Surface,12,75569,
10318.4,um^2,Surface,12,75570,
2421.62,um^2,Surface,12,75571,
2883.21,um^2,Surface,12,75572,
5317.72,um^2,Surface,12,75573,
4323.25,um^2,Surface,12,75574,
1336.99,um^2,Surface,12,75575,
2306.97,um^2,Surface,12,75576,
3792.86,um^2,Surface,12,75577,
20080.7,um^2,Surface,12,75578,
11021.2,um^2,Surface,12,75579,
5645.44,um^2,Surface,12,75580,
8394.01,um^2,Surface,12,75581,
11672.9,um^2,Surface,12,75582,
1002.62,um^2,Surface,12,75583,
7718.78,um^2,Surface,12,75584,
21817.5,um^2,Surface,12,75585,
2481.52,um^2,Surface,13,75586,
7119.21,um^2,Surface,13,75587,
9211.4,um^2,Surface,13,75588,
7274.32,um^2,Surface,13,75589,
4485.49,um^2,Surface,13,75590,
1178.75,um^2,Surface,13,75591,
1506.55,um^2,Surface,13,75592,
1893.21,um^2,Surface,13,75593,
10496.3,um^2,Surface,13,75594,
5764.51,um^2,Surface,13,75595,
1172.12,um^2,Surface,13,75596,
9692.94,um^2,Surface,13,75597,
7069.31,um^2,Surface,13,75598,
8260.69,um^2,Surface,13,75599,
7120.41,um^2,Surface,13,75600,
11416,um^2,Surface,13,75601,
4686.91,um^2,Surface,13,75602,
6085.44,um^2,Surface,13,75603,
9704.37,um^2,Surface,13,75604,
10644.2,um^2,Surface,13,75605,
2405.02,um^2,Surface,13,75606,
2978.92,um^2,Surface,13,75607,
5204.56,um^2,Surface,13,75608,
1129.09,um^2,Surface,13,75609,
2347.82,um^2,Surface,13,75610,
4350.06,um^2,Surface,13,75611,
3830.02,um^2,Surface,13,75612,
19587.8,um^2,Surface,13,75613,
11082,um^2,Surface,13,75614,
8673.02,um^2,Surface,13,75615,
5992.73,um^2,Surface,13,75616,
8054.04,um^2,Surface,13,75617,
11910.6,um^2,Surface,13,75618,
21209.7,um^2,Surface,13,75619,
1054.15,um^2,Surface,13,75620,
7030.4,um^2,Surface,14,75621,
4286.3,um^2,Surface,14,75622,
1220.37,um^2,Surface,14,75623,
9865.6,um^2,Surface,14,75624,
1731.58,um^2,Surface,14,75625,
2448.84,um^2,Surface,14,75626,
7470.68,um^2,Surface,14,75627,
1487.77,um^2,Surface,14,75628,
10427.1,um^2,Surface,14,75629,
6053.69,um^2,Surface,14,75630,
9307.37,um^2,Surface,14,75631,
1111.66,um^2,Surface,14,75632,
8300.89,um^2,Surface,14,75633,
7260.74,um^2,Surface,14,75634,
7342.18,um^2,Surface,14,75635,
5939.34,um^2,Surface,14,75636,
11538.3,um^2,Surface,14,75637,
4951.68,um^2,Surface,14,75638,
9464.92,um^2,Surface,14,75639,
2481.85,um^2,Surface,14,75640,
10864.4,um^2,Surface,14,75641,
3124.3,um^2,Surface,14,75642,
5353.54,um^2,Surface,14,75643,
4449.93,um^2,Surface,14,75644,
1358.91,um^2,Surface,14,75645,
3861.56,um^2,Surface,14,75646,
2226.03,um^2,Surface,14,75647,
19982.2,um^2,Surface,14,75648,
11089.6,um^2,Surface,14,75649,
8818.36,um^2,Surface,14,75650,
5602.11,um^2,Surface,14,75651,
11482.1,um^2,Surface,14,75652,
22138.4,um^2,Surface,14,75653,
8331.1,um^2,Surface,14,75654,
1159.99,um^2,Surface,14,75655,
9988.52,um^2,Surface,15,75656,
7340.4,um^2,Surface,15,75657,
4178.41,um^2,Surface,15,75658,
1528.61,um^2,Surface,15,75659,
893.027,um^2,Surface,15,75660,
1965.84,um^2,Surface,15,75661,
1689.5,um^2,Surface,15,75662,
7591.48,um^2,Surface,15,75663,
1484.48,um^2,Surface,15,75664,
10316.5,um^2,Surface,15,75665,
6059.6,um^2,Surface,15,75666,
1112.24,um^2,Surface,15,75667,
10005.6,um^2,Surface,15,75668,
8443.63,um^2,Surface,15,75669,
6861.5,um^2,Surface,15,75670,
7077.6,um^2,Surface,15,75671,
11276,um^2,Surface,15,75672,
4984.39,um^2,Surface,15,75673,
5964.54,um^2,Surface,15,75674,
9350.85,um^2,Surface,15,75675,
2272.15,um^2,Surface,15,75676,
3109.43,um^2,Surface,15,75677,
10499.2,um^2,Surface,15,75678,
5073.33,um^2,Surface,15,75679,
1348.68,um^2,Surface,15,75680,
4281.18,um^2,Surface,15,75681,
3880.62,um^2,Surface,15,75682,
2193.66,um^2,Surface,15,75683,
19854.6,um^2,Surface,15,75684,
10990.9,um^2,Surface,15,75685,
8968.47,um^2,Surface,15,75686,
5754.81,um^2,Surface,15,75687,
11296.8,um^2,Surface,15,75688,
21359.6,um^2,Surface,15,75689,
8129.7,um^2,Surface,15,75690,
1188.97,um^2,Surface,15,75691,
9592.17,um^2,Surface,16,75692,
7118.37,um^2,Surface,16,75693,
4258.45,um^2,Surface,16,75694,
