
Volume
 ==================== 
Volume,Unit,Category,Time,ID,
40208.9,um^3,Surface,9,75463,
23227.7,um^3,Surface,9,75464,
16879.8,um^3,Surface,9,75465,
41373.2,um^3,Surface,9,75466,
5850.38,um^3,Surface,9,75467,
10244.1,um^3,Surface,9,75468,
35119.7,um^3,Surface,9,75469,
20472.9,um^3,Surface,9,75470,
2328.18,um^3,Surface,9,75471,
6379.69,um^3,Surface,9,75472,
11653.5,um^3,Surface,9,75473,
16117.1,um^3,Surface,9,75474,
61121.6,um^3,Surface,9,75475,
48780.4,um^3,Surface,9,75476,
23743,um^3,Surface,9,75477,
37058.7,um^3,Surface,9,75478,
39638.4,um^3,Surface,9,75479,
25356.5,um^3,Surface,9,75480,
84288.2,um^3,Surface,9,75481,
4004.19,um^3,Surface,10,75482,
4037.95,um^3,Surface,10,75483,
20938.3,um^3,Surface,10,75484,
38297.5,um^3,Surface,10,75485,
26983,um^3,Surface,10,75486,
12778.8,um^3,Surface,10,75487,
2428.14,um^3,Surface,10,75488,
4140.32,um^3,Surface,10,75489,
37944.8,um^3,Surface,10,75490,
29786.9,um^3,Surface,10,75491,
27439.5,um^3,Surface,10,75492,
2676.74,um^3,Surface,10,75493,
39682.7,um^3,Surface,10,75494,
34082.4,um^3,Surface,10,75495,
24966.9,um^3,Surface,10,75496,
41309.2,um^3,Surface,10,75497,
23325.3,um^3,Surface,10,75498,
17698,um^3,Surface,10,75499,
42906,um^3,Surface,10,75500,
5779.35,um^3,Surface,10,75501,
10137.1,um^3,Surface,10,75502,
33193.2,um^3,Surface,10,75503,
20341.9,um^3,Surface,10,75504,
2977.47,um^3,Surface,10,75505,
11692.6,um^3,Surface,10,75506,
7101.68,um^3,Surface,10,75507,
16262.4,um^3,Surface,10,75508,
62384.5,um^3,Surface,10,75509,
24133.6,um^3,Surface,10,75510,
49458.3,um^3,Surface,10,75511,
38196.7,um^3,Surface,10,75512,
40290.6,um^3,Surface,10,75513,
24139.2,um^3,Surface,10,75514,
84599.2,um^3,Surface,10,75515,
36553.9,um^3,Surface,11,75516,
25848.6,um^3,Surface,11,75517,
12669.3,um^3,Surface,11,75518,
2154.04,um^3,Surface,11,75519,
20716.4,um^3,Surface,11,75520,
3857.37,um^3,Surface,11,75521,
3466.46,um^3,Surface,11,75522,
3850.49,um^3,Surface,11,75523,
37661.4,um^3,Surface,11,75524,
29194.1,um^3,Surface,11,75525,
2690.27,um^3,Surface,11,75526,
40202.9,um^3,Surface,11,75527,
28310.4,um^3,Surface,11,75528,
34588.3,um^3,Surface,11,75529,
24268.4,um^3,Surface,11,75530,
38948.7,um^3,Surface,11,75531,
23882.2,um^3,Surface,11,75532,
17765.8,um^3,Surface,11,75533,
42195.1,um^3,Surface,11,75534,
6389.25,um^3,Surface,11,75535,
33337.7,um^3,Surface,11,75536,
9933.11,um^3,Surface,11,75537,
20420.4,um^3,Surface,11,75538,
3574.73,um^3,Surface,11,75539,
11425.7,um^3,Surface,11,75540,
6870.37,um^3,Surface,11,75541,
16121.7,um^3,Surface,11,75542,
62447.4,um^3,Surface,11,75543,
49396.5,um^3,Surface,11,75544,
23934,um^3,Surface,11,75545,
36840.8,um^3,Surface,11,75546,
39588.8,um^3,Surface,11,75547,
1702.35,um^3,Surface,11,75548,
25099.9,um^3,Surface,11,75549,
83334.8,um^3,Surface,11,75550,
38170,um^3,Surface,12,75551,
25947.7,um^3,Surface,12,75552,
13404.6,um^3,Surface,12,75553,
1719.19,um^3,Surface,12,75554,
4105.01,um^3,Surface,12,75555,
