
Time Index
 ==================== 
Time Index,Unit,Category,Time,ID,
30,,Surface,30,76187,
30,,Surface,30,76188,
30,,Surface,30,76189,
30,,Surface,30,76190,
30,,Surface,30,76191,
30,,Surface,30,76192,
30,,Surface,30,76193,
30,,Surface,30,76194,
30,,Surface,30,76195,
30,,Surface,30,76196,
30,,Surface,30,76197,
30,,Surface,30,76198,
30,,Surface,30,76199,
30,,Surface,30,76200,
30,,Surface,30,76201,
30,,Surface,30,76202,
30,,Surface,30,76203,
30,,Surface,30,76204,
30,,Surface,30,76205,
30,,Surface,30,76206,
30,,Surface,30,76207,
30,,Surface,30,76208,
30,,Surface,30,76209,
30,,Surface,30,76210,
30,,Surface,30,76211,
30,,Surface,30,76212,
30,,Surface,30,76213,
30,,Surface,30,76214,
30,,Surface,30,76215,
30,,Surface,30,76216,
30,,Surface,30,76217,
30,,Surface,30,76218,
30,,Surface,30,76219,
30,,Surface,30,76220,
30,,Surface,30,76221,
31,,Surface,31,76222,
31,,Surface,31,76223,
31,,Surface,31,76224,
31,,Surface,31,76225,
31,,Surface,31,76226,
31,,Surface,31,76227,
31,,Surface,31,76228,
31,,Surface,31,76229,
31,,Surface,31,76230,
31,,Surface,31,76231,
31,,Surface,31,76232,
31,,Surface,31,76233,
31,,Surface,31,76234,
31,,Surface,31,76235,
31,,Surface,31,76236,
31,,Surface,31,76237,
31,,Surface,31,76238,
31,,Surface,31,76239,
31,,Surface,31,76240,
