
Displacement Delta Length
 ====================
Displacement^2,Unit,Category,Time,TrackID,ID
1.50555,um,Surface,72,1000052706,59332
2.59437,um,Surface,72,1000056206,59333
20.5363,um,Surface,72,1000058494,59334
4.16044,um,Surface,72,1000052705,59335
2.71319,um,Surface,72,1000057942,59336
1.87459,um,Surface,72,1000052701,59337
6.03812,um,Surface,72,1000057740,59338
0,um,Surface,72,1000059339,59339
3.70233,um,Surface,72,1000059154,59340
3.03138,um,Surface,72,1000052710,59341
2.82244,um,Surface,72,1000052702,59342
2.80606,um,Surface,72,1000057554,59343
2.74534,um,Surface,72,1000052717,59344
6.81786,um,Surface,72,1000052711,59345
3.86898,um,Surface,72,1000052720,59346
11.0285,um,Surface,72,1000052713,59347
1.50296,um,Surface,72,1000052714,59348
1.55735,um,Surface,72,1000052718,59349
2.59872,um,Surface,72,1000056813,59350
1.63203,um,Surface,72,1000055001,59351
1.9624,um,Surface,72,1000053000,59352
4.39633,um,Surface,72,1000052721,59353
9.45194,um,Surface,72,1000058708,59354
10.8719,um,Surface,72,1000055106,59355
22.5168,um,Surface,72,1000052729,59356
7.90079,um,Surface,72,1000052727,59357
2.43029,um,Surface,72,1000052724,59358
0.527061,um,Surface,72,1000052732,59359
1.90763,um,Surface,72,1000052731,59360
0.715281,um,Surface,72,1000052730,59361
1.24156,um,Surface,72,1000052733,59362
9.14227,um,Surface,72,1000055107,59363
17.4112,um,Surface,72,1000059275,59364
2.01376,um,Surface,72,1000058633,59365
4.70874,um,Surface,72,1000052728,59366
10.5582,um,Surface,72,1000057293,59367
0.255647,um,Surface,73,1000052678,59368
5.42223,um,Surface,73,1000052673,59369
4.34996,um,Surface,73,1000054381,59370
3.66287,um,Surface,73,1000052681,59371
6.42905,um,Surface,73,1000052672,59372
16.7467,um,Surface,73,1000059118,59373
1.36415,um,Surface,73,1000052677,59374
0.391733,um,Surface,73,1000052668,59375
1.90884,um,Surface,73,1000053473,59376
0.739924,um,Surface,73,1000058916,59377
9.52805,um,Surface,73,1000053564,59378
2.49667,um,Surface,73,1000057728,59379
2.29046,um,Surface,73,1000052669,59380
16.3257,um,Surface,73,1000056259,59381
10.6884,um,Surface,73,1000058743,59382
10.4934,um,Surface,73,1000052651,59383
0.783734,um,Surface,73,1000052648,59384
0.30411,um,Surface,73,1000052654,59385
3.77784,um,Surface,73,1000052653,59386
0.535403,um,Surface,73,1000052652,59387
3.80516,um,Surface,73,1000055488,59388
2.39084,um,Surface,73,1000052658,59389
1.0691,um,Surface,73,1000052659,59390
6.91503,um,Surface,73,1000058277,59391
3.79778,um,Surface,73,1000057119,59392
1.09181,um,Surface,73,1000055309,59393
17.6435,um,Surface,73,1000059303,59394
3.31304,um,Surface,73,1000052663,59395
2.9141,um,Surface,73,1000052661,59396
4.22549,um,Surface,73,1000055982,59397
2.83607,um,Surface,73,1000055218,59398
1.21473,um,Surface,73,1000059027,59399
0.465775,um,Surface,73,1000058101,59400
2.32944,um,Surface,73,1000052682,59401
1.3076,um,Surface,73,1000052676,59402
1.66457,um,Surface,73,1000055969,59403
1.99141,um,Surface,73,1000058301,59404
15.2863,um,Surface,73,1000059215,59405
0.673525,um,Surface,73,1000052684,59406
0,um,Surface,73,1000059407,59407
0.884655,um,Surface,73,1000052686,59408
4.63677,um,Surface,73,1000052674,59409
2.28997,um,Surface,73,1000052649,59410
4.17041,um,Surface,73,1000059133,59411
1.64295,um,Surface,73,1000052692,59412
19.9432,um,Surface,73,1000055724,59413
2.57868,um,Surface,73,1000056302,59414
11.056,um,Surface,73,1000052785,59415
10.3409,um,Surface,73,1000052679,59416
0.547947,um,Surface,73,1000052697,59417
1.06176,um,Surface,73,1000059142,59418
16.6686,um,Surface,73,1000057529,59419
2.4458,um,Surface,73,1000052708,59420
1.35986,um,Surface,73,1000052696,59421
4.62383,um,Surface,73,1000056206,59422
9.77912,um,Surface,73,1000059239,59423
4.96893,um,Surface,73,1000058494,59424
1.1475,um,Surface,73,1000052706,59425
7.10432,um,Surface,73,1000052705,59426
0,um,Surface,73,1000059427,59427
1.01413,um,Surface,73,1000052701,59428
0.804774,um,Surface,73,1000057942,59429
6.11922,um,Surface,73,1000057740,59430
4.27183,um,Surface,73,1000059156,59431
1.00241,um,Surface,73,1000059154,59432
10.0286,um,Surface,73,1000059339,59433
2.56652,um,Surface,73,1000052702,59434
7.05186,um,Surface,73,1000058882,59435
2.75307,um,Surface,73,1000052710,59436
10.8367,um,Surface,73,1000057554,59437
4.48977,um,Surface,73,1000052717,59438
2.8611,um,Surface,73,1000052711,59439
