
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,TrackID,ID,
0.460705,,Surface,276,1000073338,74586,
0.462804,,Surface,276,1000052659,74587,
0.345002,,Surface,276,1000073982,74588,
0.137971,,Surface,276,1000074589,74589,
0.567013,,Surface,276,1000072493,74590,
0.529017,,Surface,276,1000066218,74591,
0.334132,,Surface,276,1000073096,74592,
0.294896,,Surface,276,1000072330,74593,
0.55944,,Surface,276,1000064603,74594,
0.721687,,Surface,276,1000074227,74595,
0.49497,,Surface,276,1000052668,74596,
0.594512,,Surface,276,1000064155,74597,
0.316517,,Surface,276,1000071615,74598,
0.397887,,Surface,276,1000074599,74599,
0.547898,,Surface,276,1000074039,74600,
0.414262,,Surface,276,1000068360,74601,
0.588049,,Surface,276,1000062157,74602,
0.451459,,Surface,276,1000074309,74603,
0.711259,,Surface,276,1000052677,74604,
0.515939,,Surface,276,1000071561,74605,
0.382328,,Surface,276,1000069461,74606,
0.240686,,Surface,276,1000069550,74607,
0.533774,,Surface,276,1000061420,74608,
0.393819,,Surface,276,1000073236,74609,
0.304717,,Surface,276,1000070233,74610,
0.336736,,Surface,276,1000052696,74611,
0.286547,,Surface,276,1000074136,74612,
0.587673,,Surface,276,1000074495,74613,
0.396504,,Surface,276,1000067199,74614,
0.652607,,Surface,276,1000072717,74615,
0.577615,,Surface,276,1000074193,74616,
0.336478,,Surface,276,1000073839,74617,
0.306891,,Surface,276,1000073119,74618,
0.299899,,Surface,276,1000074009,74619,
0.329045,,Surface,276,1000052701,74620,
0.359698,,Surface,276,1000073774,74621,
0.610073,,Surface,276,1000074202,74622,
0.500302,,Surface,276,1000072024,74623,
0.525761,,Surface,276,1000066522,74624,
0.668708,,Surface,276,1000071585,74625,
0.271964,,Surface,276,1000063932,74626,
0.552131,,Surface,276,1000052706,74627,
0.347561,,Surface,276,1000073963,74628,
0.692289,,Surface,276,1000062771,74629,
0.587668,,Surface,276,1000074336,74630,
0.325005,,Surface,276,1000072788,74631,
0.668709,,Surface,276,1000069917,74632,
0.200536,,Surface,276,1000073081,74633,
0.256375,,Surface,276,1000052730,74634,
0.257433,,Surface,276,1000066193,74635,
0.376561,,Surface,276,1000074347,74636,
0.327892,,Surface,276,1000052733,74637,
0.585422,,Surface,277,1000068865,74638,
0.354146,,Surface,277,1000074051,74639,
0.323972,,Surface,277,1000073338,74640,
0.548378,,Surface,277,1000052658,74641,
0.39363,,Surface,277,1000052659,74642,
0.406918,,Surface,277,1000073982,74643,
0.152798,,Surface,277,1000072493,74644,
0.392238,,Surface,277,1000073096,74645,
0.691581,,Surface,277,1000066218,74646,
0.263961,,Surface,277,1000064603,74647,
0.667206,,Surface,277,1000074227,74648,
0.329756,,Surface,277,1000055510,74649,
