
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,TrackID,ID,
0.394483,,Surface,29,1000052689,55238,
0.310129,,Surface,29,1000052687,55239,
0.485206,,Surface,29,1000052693,55240,
0.399382,,Surface,29,1000052686,55241,
0.568176,,Surface,29,1000052692,55242,
0.157388,,Surface,29,1000054151,55243,
0.572914,,Surface,29,1000052688,55244,
0.424416,,Surface,29,1000052690,55245,
0.347577,,Surface,29,1000052696,55246,
0.499722,,Surface,29,1000052785,55247,
0.633636,,Surface,29,1000052700,55248,
0.667167,,Surface,29,1000054977,55249,
0.296931,,Surface,29,1000052697,55250,
0.296087,,Surface,29,1000052708,55251,
0.469635,,Surface,29,1000052699,55252,
0.29035,,Surface,29,1000052702,55253,
0.481366,,Surface,29,1000052709,55254,
0.404095,,Surface,29,1000052791,55255,
0.356561,,Surface,29,1000052706,55256,
0.481592,,Surface,29,1000052701,55257,
0.312718,,Surface,29,1000052705,55258,
0.378185,,Surface,29,1000054717,55259,
0.521877,,Surface,29,1000052707,55260,
0.743842,,Surface,29,1000054710,55261,
0.482073,,Surface,29,1000052715,55262,
0.406555,,Surface,29,1000052710,55263,
0.519475,,Surface,29,1000052713,55264,
0.509087,,Surface,29,1000052711,55265,
0.530598,,Surface,29,1000052714,55266,
0.187197,,Surface,29,1000052729,55267,
0.521878,,Surface,29,1000052720,55268,
0.258674,,Surface,29,1000052717,55269,
0.618925,,Surface,29,1000052718,55270,
0.717147,,Surface,29,1000052712,55271,
0.692382,,Surface,29,1000055001,55272,
0.365834,,Surface,29,1000052725,55273,
0.464742,,Surface,29,1000053000,55274,
0.586052,,Surface,29,1000052721,55275,
0.441863,,Surface,29,1000052724,55276,
0.231699,,Surface,29,1000053814,55277,
0.636081,,Surface,29,1000052723,55278,
0.410929,,Surface,29,1000053822,55279,
0.52158,,Surface,29,1000052731,55280,
0.673758,,Surface,29,1000052727,55281,
0.603263,,Surface,29,1000052732,55282,
0.241362,,Surface,29,1000055106,55283,
0.420466,,Surface,29,1000052733,55284,
0.607993,,Surface,29,1000052728,55285,
0.254063,,Surface,29,1000052734,55286,
0.476096,,Surface,29,1000052736,55287,
0.326564,,Surface,30,1000052673,55288,
0.491879,,Surface,30,1000052650,55289,
0.540684,,Surface,30,1000052681,55290,
0.547541,,Surface,30,1000053564,55291,
0.550447,,Surface,30,1000052672,55292,
0.582857,,Surface,30,1000052670,55293,
0.402314,,Surface,30,1000053473,55294,
0.189532,,Surface,30,1000052648,55295,
0.465784,,Surface,30,1000052668,55296,
0.400805,,Surface,30,1000052651,55297,
0.275756,,Surface,30,1000052669,55298,
0.487807,,Surface,30,1000052654,55299,
0.548235,,Surface,30,1000052653,55300,
0.527783,,Surface,30,1000053927,55301,
0.645547,,Surface,30,1000052660,55302,
0.407499,,Surface,30,1000054295,55303,
0.331484,,Surface,30,1000053569,55304,
0.530273,,Surface,30,1000052657,55305,
0.58654,,Surface,30,1000052658,55306,
0.157393,,Surface,30,1000054848,55307,
0.570223,,Surface,30,1000052659,55308,
0.359712,,Surface,30,1000055309,55309,
0.34724,,Surface,30,1000052663,55310,
0.595165,,Surface,30,1000052661,55311,
0.606754,,Surface,30,1000055218,55312,
0.696413,,Surface,30,1000054491,55313,
0.399499,,Surface,30,1000052665,55314,
0.583592,,Surface,30,1000052666,55315,
0.39445,,Surface,30,1000052667,55316,
0.460651,,Surface,30,1000055135,55317,
0.616178,,Surface,30,1000052698,55318,
0.275333,,Surface,30,1000052675,55319,
0.375869,,Surface,30,1000052682,55320,
0.666406,,Surface,30,1000054381,55321,
0.325989,,Surface,30,1000052680,55322,
0.462362,,Surface,30,1000052677,55323,
0.763167,,Surface,30,1000052716,55324,
0.537144,,Surface,30,1000052683,55325,
0.381076,,Surface,30,1000052679,55326,
0.288804,,Surface,30,1000052676,55327,
0.58097,,Surface,30,1000052649,55328,
0.341142,,Surface,30,1000052678,55329,
0.426876,,Surface,30,1000052687,55330,
0.369401,,Surface,30,1000052684,55331,
0.665562,,Surface,30,1000052686,55332,
0.342473,,Surface,30,1000052689,55333,
0.632021,,Surface,30,1000052693,55334,
0.701235,,Surface,30,1000052692,55335,
0.379408,,Surface,30,1000054151,55336,
0.706224,,Surface,30,1000052690,55337,
0.664913,,Surface,30,1000052688,55338,
0.635504,,Surface,30,1000052674,55339,
0.446107,,Surface,30,1000052785,55340,
0.203747,,Surface,30,1000052696,55341,
0.743962,,Surface,30,1000052700,55342,
0.33561,,Surface,30,1000052708,55343,
