
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,TrackID,ID,
0.660392,,Surface,199,1000084307,88933,
0.518387,,Surface,199,1000087237,88934,
0.456485,,Surface,199,1000083596,88935,
0.227139,,Surface,199,1000087240,88936,
0.218422,,Surface,199,1000088204,88937,
0.343862,,Surface,199,1000088845,88938,
0.344385,,Surface,199,1000088939,88939,
0.330416,,Surface,199,1000070936,88940,
0.351829,,Surface,199,1000067229,88941,
0.40342,,Surface,199,1000085569,88942,
0.468001,,Surface,199,1000078738,88943,
0.377554,,Surface,199,1000067219,88944,
0.419362,,Surface,199,1000083191,88945,
0.380205,,Surface,199,1000087366,88946,
0.474804,,Surface,199,1000067235,88947,
0.668305,,Surface,199,1000084028,88948,
0.492441,,Surface,199,1000088582,88949,
0.569496,,Surface,199,1000080372,88950,
0.355024,,Surface,199,1000084227,88951,
0.691773,,Surface,199,1000086269,88952,
0.398838,,Surface,199,1000067233,88953,
0.331516,,Surface,199,1000087853,88954,
0.412972,,Surface,199,1000088590,88955,
0.449799,,Surface,199,1000088956,88956,
0.477083,,Surface,199,1000067236,88957,
0.344128,,Surface,199,1000067239,88958,
0.276841,,Surface,199,1000082577,88959,
0.144156,,Surface,199,1000086287,88960,
0.433894,,Surface,199,1000070234,88961,
0.575488,,Surface,199,1000088402,88962,
0.374992,,Surface,199,1000081925,88963,
0.437094,,Surface,199,1000086474,88964,
0.455532,,Surface,199,1000081267,88965,
0.642312,,Surface,199,1000087473,88966,
0.490217,,Surface,199,1000084659,88967,
0.572653,,Surface,199,1000083642,88968,
0.585485,,Surface,199,1000087380,88969,
0.592898,,Surface,199,1000088510,88970,
0.396945,,Surface,199,1000076611,88971,
0.370691,,Surface,199,1000085608,88972,
0.399046,,Surface,199,1000088879,88973,
0.28708,,Surface,199,1000087087,88974,
0.549999,,Surface,199,1000086687,88975,
0.126607,,Surface,199,1000087777,88976,
0.659173,,Surface,199,1000084673,88977,
0.17833,,Surface,199,1000067275,88978,
0.397164,,Surface,199,1000088798,88979,
0.333041,,Surface,199,1000088337,88980,
0.424936,,Surface,199,1000067399,88981,
0.393334,,Surface,199,1000081726,88982,
0.522923,,Surface,199,1000087689,88983,
0.192863,,Surface,199,1000087184,88984,
0.564219,,Surface,199,1000087962,88985,
0.486392,,Surface,199,1000085401,88986,
0.423993,,Surface,199,1000087697,88987,
0.423098,,Surface,199,1000088802,88988,
0.514985,,Surface,199,1000083968,88989,
0.57456,,Surface,200,1000080554,88990,
0.291811,,Surface,200,1000088991,88991,
0.662994,,Surface,200,1000067188,88992,
0.51546,,Surface,200,1000086613,88993,
0.43291,,Surface,200,1000087715,88994,
0.222043,,Surface,200,1000087215,88995,
0.666668,,Surface,200,1000087513,88996,
0.639067,,Surface,200,1000084378,88997,
0.344769,,Surface,200,1000088352,88998,
0.293831,,Surface,200,1000080122,88999,
0.650836,,Surface,200,1000088543,89000,
0.612555,,Surface,200,1000086218,89001,
0.617801,,Surface,200,1000077300,89002,
0.330161,,Surface,200,1000088544,89003,
0.459236,,Surface,200,1000087892,89004,
0.692327,,Surface,200,1000086217,89005,
0.390947,,Surface,200,1000088822,89006,
0.336558,,Surface,200,1000078813,89007,
0.576985,,Surface,200,1000077083,89008,
0.438077,,Surface,200,1000068978,89009,
0.635896,,Surface,200,1000089010,89010,
0.766424,,Surface,200,1000086940,89011,
0.627866,,Surface,200,1000086628,89012,
0.270033,,Surface,200,1000084514,89013,
0.506436,,Surface,200,1000083793,89014,
0.335761,,Surface,200,1000087995,89015,
0.198529,,Surface,200,1000087630,89016,
0.550851,,Surface,200,1000088186,89017,
0.213761,,Surface,200,1000067206,89018,
0.453153,,Surface,200,1000088833,89019,
0.237705,,Surface,200,1000081652,89020,
0.551823,,Surface,200,1000087633,89021,
0.259405,,Surface,200,1000077980,89022,
0.615943,,Surface,200,1000084307,89023,
0.262788,,Surface,200,1000085847,89024,
0.442214,,Surface,200,1000081325,89025,
0.344888,,Surface,200,1000087240,89026,
0.532592,,Surface,200,1000083596,89027,
0.614864,,Surface,200,1000079282,89028,
0.517391,,Surface,200,1000070936,89029,
0.505215,,Surface,200,1000088939,89030,
0.289441,,Surface,200,1000088204,89031,
0.388158,,Surface,200,1000067229,89032,
0.554896,,Surface,200,1000083191,89033,
0.309166,,Surface,200,1000067235,89034,
0.570277,,Surface,200,1000085569,89035,
0.371914,,Surface,200,1000087366,89036,
0.581719,,Surface,200,1000078738,89037,
0.348093,,Surface,200,1000067219,89038,
0.233336,,Surface,200,1000085775,89039,
0.606519,,Surface,200,1000088117,89040,
0.668308,,Surface,200,1000084028,89041,
0.610185,,Surface,200,1000088582,89042,
0.531797,,Surface,200,1000080372,89043,
0.268702,,Surface,200,1000089044,89044,
0.539499,,Surface,200,1000067233,89045,
0.313008,,Surface,200,1000084227,89046,
0.157391,,Surface,200,1000087853,89047,
0.294419,,Surface,200,1000086269,89048,
0.328736,,Surface,200,1000089049,89049,
0.421664,,Surface,200,1000088956,89050,
0.265492,,Surface,200,1000067239,89051,
0.500033,,Surface,200,1000067236,89052,
0.535052,,Surface,200,1000070234,89053,
0.649784,,Surface,200,1000081925,89054,
0.588138,,Surface,200,1000086474,89055,
0.327464,,Surface,200,1000088402,89056,
0.303184,,Surface,200,1000082577,89057,
0.318303,,Surface,200,1000087473,89058,
0.447484,,Surface,200,1000081267,89059,
0.278247,,Surface,200,1000084659,89060,
0.665566,,Surface,200,1000083642,89061,
0.68818,,Surface,200,1000087380,89062,
0.581719,,Surface,200,1000088510,89063,
0.457084,,Surface,200,1000076611,89064,
0.157392,,Surface,200,1000085608,89065,
0.225076,,Surface,200,1000088879,89066,
0.277918,,Surface,200,1000084673,89067,
0.263786,,Surface,200,1000088337,89068,
0.623076,,Surface,200,1000087777,89069,
0.46428,,Surface,200,1000086687,89070,
0.194555,,Surface,200,1000067275,89071,
0.232635,,Surface,200,1000081726,89072,
0.340763,,Surface,200,1000067399,89073,
0.745852,,Surface,200,1000087689,89074,
0.640512,,Surface,200,1000087962,89075,
0.214581,,Surface,200,1000088798,89076,
0.331444,,Surface,200,1000083968,89077,
0.338627,,Surface,200,1000087184,89078,
0.552775,,Surface,200,1000085401,89079,
0.251829,,Surface,200,1000089080,89080,
0.293513,,Surface,200,1000087697,89081,
0.460122,,Surface,200,1000088802,89082,
0.349895,,Surface,201,1000088543,89083,
0.604274,,Surface,201,1000086218,89084,
0.619135,,Surface,201,1000087513,89085,
0.535021,,Surface,201,1000084378,89086,
0.217729,,Surface,201,1000088352,89087,
0.59235,,Surface,201,1000080554,89088,
0.40924,,Surface,201,1000067188,89089,
0.265203,,Surface,201,1000086613,89090,
0.285516,,Surface,201,1000087715,89091,
0.282968,,Surface,201,1000077300,89092,
0.381259,,Surface,201,1000086217,89093,
0.382902,,Surface,201,1000088544,89094,
0.328367,,Surface,201,1000078813,89095,
0.191902,,Surface,201,1000077083,89096,
0.29973,,Surface,201,1000087892,89097,
0.506627,,Surface,201,1000088822,89098,
0.654176,,Surface,201,1000089010,89099,
0.404729,,Surface,201,1000068978,89100,
0.157394,,Surface,201,1000083901,89101,
0.610995,,Surface,201,1000086628,89102,
0.215309,,Surface,201,1000086940,89103,
0.44339,,Surface,201,1000087995,89104,
0.594374,,Surface,201,1000083793,89105,
0.542291,,Surface,201,1000081652,89106,
0.470333,,Surface,201,1000077980,89107,
0.377519,,Surface,201,1000087630,89108,
0.39304,,Surface,201,1000067206,89109,
0.332999,,Surface,201,1000087633,89110,
0.461603,,Surface,201,1000082972,89111,
0.307942,,Surface,201,1000084307,89112,
0.232356,,Surface,201,1000081325,89113,
0.402577,,Surface,201,1000087232,89114,
0.247618,,Surface,201,1000079282,89115,
0.612971,,Surface,201,1000087237,89116,
0.369185,,Surface,201,1000085847,89117,
0.245186,,Surface,201,1000087240,89118,
0.461298,,Surface,201,1000083596,89119,
0.62459,,Surface,201,1000070936,89120,
0.384425,,Surface,201,1000088939,89121,
0.689277,,Surface,201,1000087061,89122,
0.299604,,Surface,201,1000088204,89123,
0.644378,,Surface,201,1000085569,89124,
0.28675,,Surface,201,1000067235,89125,
0.49349,,Surface,201,1000067229,89126,
0.304564,,Surface,201,1000067219,89127,
0.286167,,Surface,201,1000083191,89128,
0.161158,,Surface,201,1000087366,89129,
0.300817,,Surface,201,1000085775,89130,
0.39851,,Surface,201,1000078738,89131,
0.201806,,Surface,201,1000084028,89132,
0.133987,,Surface,201,1000089044,89133,
0.568246,,Surface,201,1000080372,89134,
0.286498,,Surface,201,1000084227,89135,
0.48845,,Surface,201,1000067233,89136,
0.230188,,Surface,201,1000069013,89137,
0.264351,,Surface,201,1000067239,89138,
0.176976,,Surface,201,1000086269,89139,
0.445396,,Surface,201,1000089049,89140,
0.43539,,Surface,201,1000067236,89141,
0.276452,,Surface,201,1000087853,89142,
0.681613,,Surface,201,1000089143,89143,
0.726109,,Surface,201,1000088956,89144,
0.390024,,Surface,201,1000070234,89145,
0.486631,,Surface,201,1000088402,89146,
0.403197,,Surface,201,1000086287,89147,
0.390414,,Surface,201,1000082577,89148,
0.435201,,Surface,201,1000081925,89149,
0.642369,,Surface,201,1000086474,89150,
0.419844,,Surface,201,1000081267,89151,
