
Displacement Delta
 ==================== 
Displacement Delta X,Displacement Delta Y,Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
-1.17401,3.72903,0.272487,um,Surface,Displacement Delta,2,1000081104,81229,
-5.45743,-0.0388489,-0.838266,um,Surface,Displacement Delta,2,1000081097,81230,
0.859131,0.18454,0.463082,um,Surface,Displacement Delta,2,1000081105,81231,
-0.824814,-5.78955,0.306194,um,Surface,Displacement Delta,2,1000081102,81232,
0.52774,-0.812866,-0.0457182,um,Surface,Displacement Delta,2,1000081103,81233,
-1.67084,1.27554,1.01944,um,Surface,Displacement Delta,2,1000081108,81234,
4.19809,3.82095,1.28935,um,Surface,Displacement Delta,2,1000081107,81235,
6.84084,-6.98462,0.464725,um,Surface,Displacement Delta,2,1000081109,81236,
0.0536804,0,0.233334,um,Surface,Displacement Delta,2,1000081112,81237,
5.17947,-0.848495,-1.24397,um,Surface,Displacement Delta,2,1000081111,81238,
0,0,0,um,Surface,Displacement Delta,2,1000081239,81239,
-0.0648804,-2.08142,-0.342491,um,Surface,Displacement Delta,2,1000081114,81240,
-0.23761,-0.00961304,0.595462,um,Surface,Displacement Delta,2,1000081113,81241,
0.88562,0,-0.165002,um,Surface,Displacement Delta,2,1000081110,81242,
-0.547211,-1.47871,0.909327,um,Surface,Displacement Delta,2,1000081120,81243,
2.78451,-1.4231,-0.713739,um,Surface,Displacement Delta,2,1000081117,81244,
4.8614,11.6356,-0.331286,um,Surface,Displacement Delta,2,1000081116,81245,
-0.618408,-5.72263,0.773396,um,Surface,Displacement Delta,2,1000081118,81246,
13.8073,-18.7378,2.02953,um,Surface,Displacement Delta,2,1000081119,81247,
1.34784,-1.33274,-0.0678568,um,Surface,Displacement Delta,2,1000081115,81248,
0.111938,0.785812,0.0446033,um,Surface,Displacement Delta,2,1000081121,81249,
-2.17581,-5.22447,-0.242927,um,Surface,Displacement Delta,2,1000081122,81250,
-2.78986,-6.8903,0.328388,um,Surface,Displacement Delta,2,1000081123,81251,
-0.478424,-0.394333,0.23777,um,Surface,Displacement Delta,2,1000081129,81252,
0.510418,4.90613,1.15914,um,Surface,Displacement Delta,2,1000081125,81253,
0.429382,0.713089,0.0428572,um,Surface,Displacement Delta,2,1000081126,81254,
1.91409,-5.42936,-2.97657,um,Surface,Displacement Delta,2,1000081127,81255,
0.238129,0.083374,0.489963,um,Surface,Displacement Delta,2,1000081128,81256,
-0.027832,0.370514,-0.179166,um,Surface,Displacement Delta,2,1000081124,81257,
-3.30164,3.81438,2.89795,um,Surface,Displacement Delta,2,1000081136,81258,
0.997337,-0.0993347,-0.342361,um,Surface,Displacement Delta,2,1000081134,81259,
0.895401,-6.79208,4.48339,um,Surface,Displacement Delta,2,1000081131,81260,
-2.80136,-2.55431,-1.73523,um,Surface,Displacement Delta,2,1000081130,81261,
0.972687,0.205139,0.330933,um,Surface,Displacement Delta,2,1000081137,81262,
0,0,0,um,Surface,Displacement Delta,2,1000081263,81263,
1.90749,1.4079,-0.338461,um,Surface,Displacement Delta,2,1000081140,81264,
-0.325073,-0.138641,-0.22861,um,Surface,Displacement Delta,2,1000081132,81265,
-11.6975,3.85779,0.539583,um,Surface,Displacement Delta,2,1000081133,81266,
1.03632,-0.239594,0.152335,um,Surface,Displacement Delta,2,1000081138,81267,
-3.5679,-0.0254211,-0.0967798,um,Surface,Displacement Delta,2,1000081135,81268,
0.531372,-1.54245,0.00305557,um,Surface,Displacement Delta,2,1000081139,81269,
2.14058,-2.7247,-0.133943,um,Surface,Displacement Delta,2,1000081142,81270,
2.93475,-0.349283,0.441542,um,Surface,Displacement Delta,2,1000081141,81271,
0.716919,0,0.209523,um,Surface,Displacement Delta,2,1000081143,81272,
3.87489,0.895996,-1.58468,um,Surface,Displacement Delta,2,1000081146,81273,
0,0,0,um,Surface,Displacement Delta,2,1000081274,81274,
